Year,Country,Production,Yield,Pesticides,Fertilizer (N),Fertilizer (K2O),Fertilizer (P2O5),Fertilizer (Total),Agricultural Value Added,Mean Temperature,Precipitation,Agricultural Employment,FPI,Population,Agricultural Machinery,Export Value,Export Avg Price,Import Value,Import Avg Price,Urbanization
1961,Albania,14502,30.275574112734866,,3.2,0.0,2.4,14.587962962963,,12.25,967.0,,21.34,1769.079,67.1296296296296,,,,,0.4480828084509147
1962,Albania,14502,29.7782340862423,,2.0,0.0,2.5,11.9266055045872,,11.92,1377.69,,21.93,1828.232,87.1559633027523,,,,,0.4495853069696125
1963,Albania,14985,30.272727272727273,,2.0,0.8,2.5,12.0454545454545,,11.97,1389.91,,20.71,1888.302,86.3636363636364,,,,,0.4510917221672034
1964,Albania,15469,30.87624750499002,,2.0,0.9,3.5,14.4469525959368,,11.51,1164.98,,23.37,1949.013,94.8081264108352,,,,,0.4526053785053613
1965,Albania,15469,29.634099616858236,,2.0,1.0,5.0,17.3913043478261,,11.4,1007.08,,22.23,2009.789,94.1521739130435,,,,,0.4541203880159544
1966,Albania,16919,31.331481481481482,,3.0,1.5,5.0,20.0,,12.17,1323.5,,25.47,2070.689,99.2421052631579,,,,,0.4556413824439838
1967,Albania,17886,32.169064748201436,,7.0,1.5,7.0,31.7622950819672,,11.65,1026.38,,27.29,2132.443,109.036885245902,,,,,0.4571684159261841
1968,Albania,17402,30.529824561403508,,19.0,2.0,16.0,74.0,,11.71,1234.69,,28.01,2195.466,114.38,,,,,0.4587030245391436
1969,Albania,17402,29.747008547008548,,16.0,2.0,18.0,70.5882352941177,,11.52,1345.11,,28.34,2259.799,115.372549019608,,,,,0.4608751253255332
1970,Albania,17886,29.859766277128546,,27.0,2.5,17.7,84.6449136276392,14.738216,11.64,1189.1,,29.09,2324.731,115.451055662188,,,,,0.4649939951947934
1971,Albania,18369,30.113114754098362,,30.7,1.0,17.9,101.509433962264,14.740728,11.53,1128.42,,30.17,2389.812,126.415094339623,,,,,0.4691496814224238
1972,Albania,18369,29.4375,,32.0,1.0,21.0,102.962962962963,14.741291,11.55,1249.2,,30.68,2455.171,137.037037037037,,,,,0.4733481375629763
1973,Albania,19336,30.40251572327044,,36.1,1.1,20.8,106.021897810219,14.732628,11.38,1207.98,,32.86,2520.436,149.343065693431,,,,,0.4775724528567858
1974,Albania,18852,28.914110429447852,,36.3,3.6,24.0,114.721723518851,14.748266,11.39,1259.28,,33.82,2585.452,156.193895870736,,,,,0.4818403382305725
1975,Albania,19336,29.20845921450151,,36.0,1.6,24.9,111.01243339254,14.742979,11.47,867.05,,34.42,2650.122,170.870337477798,,,,,0.4861461314254615
