Reporter Countries,Partner Countries,Value
Albania,Austria,649
Albania,Bosnia and Herzegovina,2418
Albania,Bulgaria,876
Albania,Croatia,671
Albania,Czechia,32
Albania,Denmark,9
Albania,Estonia,8
Albania,France,71
Albania,Germany,55
Albania,Greece,1224
Albania,Hungary,199
Albania,Italy,3887
Albania,Lithuania,3
Albania,Montenegro,1660
Albania,Netherlands,71
Albania,Poland,43
Albania,Moldova,6
Albania,Romania,1012
Albania,Serbia,8732
Albania,Slovakia,35
Albania,Slovenia,251
Albania,Sweden,62
Albania,Switzerland,10
Albania,Ukraine,5
Austria,Belgium,21
Austria,Bulgaria,0
Austria,Croatia,1
Austria,Czechia,2165
Austria,Estonia,90
Austria,France,111
Austria,Germany,13805
Austria,Greece,3
Austria,Hungary,1423
Austria,Italy,855
Austria,Netherlands,2248
Austria,Poland,780
Austria,Romania,7
Austria,Slovakia,1947
Austria,Slovenia,4002
Austria,Spain,19
Austria,Switzerland,373
Belarus,Lithuania,33
Belarus,Netherlands,70
Belarus,Poland,357
Belarus,Russia,32200
Belarus,Ukraine,1465
Belgium,Austria,552
Belgium,Belarus,286
Belgium,Bulgaria,1
Belgium,Czechia,4335
Belgium,Denmark,1722
Belgium,Estonia,280
Belgium,Finland,338
Belgium,France,56341
Belgium,Germany,131289
Belgium,Greece,2468
Belgium,Hungary,2
Belgium,Italy,14651
Belgium,Lithuania,890
Belgium,Luxembourg,9770
Belgium,Malta,66
Belgium,Netherlands,85050
Belgium,Poland,3146
Belgium,Portugal,1017
Belgium,Romania,3
Belgium,Serbia,27
Belgium,Slovakia,970
Belgium,Spain,13096
Belgium,Sweden,2042
Belgium,Switzerland,2131
Belgium,Ukraine,264
Belgium,United Kingdom,24849
Bosnia and Herzegovina,Croatia,217
Bosnia and Herzegovina,Montenegro,16
Bulgaria,Austria,12
Bulgaria,Belgium,103
Bulgaria,Croatia,218
Bulgaria,Czechia,1743
Bulgaria,Estonia,17
Bulgaria,France,25
Bulgaria,Germany,1777
Bulgaria,Greece,2
Bulgaria,Hungary,4262
Bulgaria,Ireland,4
Bulgaria,Italy,10
Bulgaria,Lithuania,5
Bulgaria,Luxembourg,33
Bulgaria,Netherlands,729
Bulgaria,Poland,732
Bulgaria,Romania,11121
Bulgaria,Slovakia,86
Bulgaria,Sweden,9
Bulgaria,United Kingdom,568
Croatia,Austria,3
Croatia,Bosnia and Herzegovina,162
Croatia,Czechia,438
Croatia,Germany,1390
Croatia,Hungary,37
Croatia,Italy,540
Croatia,Netherlands,51
Croatia,Romania,43
Croatia,Serbia,1031
Croatia,Slovakia,180
Croatia,Slovenia,5134
Croatia,Spain,122
Croatia,Ukraine,34
Czechia,Austria,0
Czechia,Bulgaria,487
Czechia,Germany,22
Czechia,Hungary,270
Czechia,Italy,0
Czechia,Lithuania,82
Czechia,Netherlands,54
Czechia,Poland,574
Czechia,Romania,281
Czechia,Slovakia,10955
Czechia,Spain,23
Czechia,Sweden,0
Denmark,Austria,9
Denmark,Belgium,0
Denmark,Croatia,0
Denmark,Czechia,0
Denmark,Estonia,1
Denmark,Finland,2
Denmark,France,1
Denmark,Germany,67
Denmark,Greece,0
Denmark,Iceland,247
Denmark,Italy,2
Denmark,Lithuania,1
Denmark,Malta,0
Denmark,Netherlands,842
Denmark,Norway,47
Denmark,Poland,45
Denmark,Slovakia,0
Denmark,Slovenia,0
Denmark,Spain,4
Denmark,Sweden,3303
Estonia,Denmark,3
Estonia,Finland,133
Estonia,Germany,2
Estonia,Lithuania,72
Estonia,Norway,5
Estonia,Russia,10
Finland,Estonia,734
Finland,Lithuania,47
Finland,Norway,0
Finland,Sweden,0
France,Austria,8164
France,Belgium,15437
France,Bulgaria,12
France,Croatia,22
France,Czechia,22375
France,Denmark,6124
France,Estonia,628
France,Finland,12215
France,Germany,172502
France,Greece,2
France,Hungary,200
France,Ireland,381
France,Italy,18142
France,Lithuania,2899
France,Luxembourg,5553
France,Malta,85
France,Netherlands,69652
France,Norway,1527
France,Poland,37716
France,Portugal,120
France,Romania,2
France,Russia,12
France,Slovakia,1758
France,Slovenia,102
France,Spain,47916
France,Sweden,34096
France,Switzerland,20663
France,Ukraine,233
France,United Kingdom,12219
Germany,Austria,11846
Germany,Belgium,1702
Germany,Bulgaria,89
Germany,Croatia,145
Germany,Czechia,4859
Germany,Denmark,1926
Germany,Estonia,12
Germany,Finland,8681
Germany,France,1437
Germany,Hungary,93
Germany,Ireland,0
Germany,Italy,260
Germany,Lithuania,215
Germany,Luxembourg,510
Germany,Netherlands,4658
Germany,Norway,1
Germany,Poland,7912
Germany,Portugal,1
Germany,Romania,1535
Germany,Slovakia,2051
Germany,Slovenia,355
Germany,Spain,2232
Germany,Sweden,3237
Germany,Switzerland,989
Germany,United Kingdom,3
Greece,Albania,383
Greece,Austria,210
Greece,Belgium,78
Greece,Bulgaria,7839
Greece,Croatia,24
Greece,Czechia,27
Greece,Denmark,1
Greece,Estonia,0
Greece,Germany,252
Greece,Hungary,97
Greece,Italy,16
Greece,Netherlands,13
Greece,Poland,118
Greece,Romania,1279
Greece,Serbia,1762
Greece,Slovenia,1
Greece,Sweden,1
Greece,United Kingdom,50
Hungary,Austria,500
Hungary,Bulgaria,197
Hungary,Croatia,7
Hungary,Czechia,4533
Hungary,Germany,1047
Hungary,Netherlands,0
Hungary,Poland,0
Hungary,Romania,2833
Hungary,Serbia,42
Hungary,Slovakia,5222
Hungary,Spain,7
Hungary,Switzerland,0
Hungary,United Kingdom,2
Iceland,Italy,0
Ireland,United Kingdom,1578
Italy,Albania,108
Italy,Austria,35801
Italy,Belarus,222
Italy,Belgium,755
Italy,Bulgaria,173
Italy,Croatia,3899
Italy,Czechia,3227
Italy,Denmark,4671
Italy,Estonia,54
Italy,Finland,3
Italy,France,8980
Italy,Germany,43184
Italy,Greece,711
Italy,Hungary,1009
Italy,Ireland,2460
Italy,Lithuania,1461
Italy,Luxembourg,166
Italy,Malta,2132
Italy,Montenegro,2
Italy,Netherlands,1536
Italy,Norway,2
Italy,Poland,5760
Italy,Portugal,1
Italy,Moldova,86
Italy,Romania,2423
Italy,Serbia,707
Italy,Slovakia,1322
Italy,Slovenia,5077
Italy,Spain,219
Italy,Sweden,1332
Italy,Switzerland,28043
Italy,Ukraine,5
Italy,United Kingdom,15595
Latvia,Belarus,146
Latvia,Denmark,0
Latvia,Estonia,8519
Latvia,Lithuania,4187
Latvia,Netherlands,9
Latvia,Poland,0
Latvia,Spain,36
Latvia,United Kingdom,0
Lithuania,Belarus,5244
Lithuania,Bulgaria,0
Lithuania,Estonia,289
Lithuania,France,18
Lithuania,Germany,4
Lithuania,Italy,4
Lithuania,Netherlands,81
Lithuania,Norway,2
Lithuania,Poland,55
Lithuania,Russia,304
Lithuania,Spain,129
Lithuania,United Kingdom,4
Luxembourg,Belgium,421
Luxembourg,France,909
Luxembourg,Germany,483
Luxembourg,Netherlands,1
Luxembourg,Spain,3
Montenegro,Albania,1
Montenegro,Denmark,0
Montenegro,France,0
Montenegro,Italy,0
Netherlands,Austria,13334
Netherlands,Belarus,2849
Netherlands,Belgium,71166
Netherlands,Bosnia and Herzegovina,59
Netherlands,Bulgaria,2185
Netherlands,Croatia,4307
Netherlands,Czechia,31873
Netherlands,Denmark,50711
Netherlands,Estonia,9265
Netherlands,Finland,30286
Netherlands,France,26257
Netherlands,Germany,1013027
Netherlands,Greece,3871
Netherlands,Hungary,1761
Netherlands,Iceland,2347
Netherlands,Ireland,30333
Netherlands,Italy,57096
Netherlands,Lithuania,13050
Netherlands,Luxembourg,1228
Netherlands,Malta,1495
Netherlands,Montenegro,63
Netherlands,Norway,37160
Netherlands,Poland,106199
Netherlands,Portugal,1604
Netherlands,Moldova,1787
Netherlands,Romania,23933
Netherlands,Russia,2587
Netherlands,Serbia,1294
Netherlands,Slovakia,9899
Netherlands,Slovenia,1030
Netherlands,Spain,20364
Netherlands,Sweden,106835
