Variable:,pr
,Albania,Berat,Bulqize,Delvine,Devoll,Diber,Durres,Elbasan,Fier,Gjirokaster,Gramsh,Has,Kavaje,Kolonje,Korce,Kruje,Kucove,Kukes,Kurbin,Lezhe,Librazhd,Lushnje,"Malesi E Madhe",Mallakaster,Mat,Mirdite,Peqin,Permet,Pogradec,Puke,Sarande,Shkoder,Skrapar,Tepelene,Tirane,Tropoje,Vlore
1901,1380.64,1331.72,1266.52,1642.50,1098.89,1257.04,1377.03,1314.25,1264.46,1592.35,1366.40,1226.63,1349.69,1300.97,1163.09,1432.75,1311.30,1214.94,1497.30,1503.63,1258.22,1311.33,1560.20,1342.88,1352.03,1386.54,1358.00,1543.48,1150.14,1383.95,1662.30,1544.95,1425.46,1564.29,1345.20,1338.50,1488.70
1902,1250.53,1202.15,1169.17,1346.02,874.88,1180.88,1336.57,1207.54,1181.44,1300.28,1186.50,1167.98,1299.81,989.29,953.08,1393.11,1210.70,1145.38,1473.00,1481.18,1147.19,1223.79,1543.06,1222.03,1290.84,1338.52,1300.60,1250.12,958.25,1338.08,1354.66,1520.00,1212.40,1339.97,1279.50,1290.34,1321.48
1903,1087.41,1017.88,1002.22,1221.47,813.11,1036.86,1119.44,1021.22,974.64,1187.50,1032.10,1026.15,1084.09,959.24,865.31,1186.72,1009.30,1009.14,1271.20,1276.28,975.12,1018.69,1311.72,1027.71,1118.26,1163.15,1088.90,1151.54,860.19,1160.56,1233.90,1298.85,1072.71,1173.55,1073.21,1120.23,1122.07
1904,1135.44,1093.39,1031.01,1361.35,876.12,1032.83,1163.48,1075.70,1061.57,1306.08,1099.60,999.39,1132.53,1054.85,927.36,1214.10,1089.20,995.49,1283.10,1289.39,1018.70,1093.31,1255.84,1115.04,1127.95,1166.76,1134.20,1258.14,916.23,1133.04,1381.43,1270.10,1152.10,1297.02,1118.30,1082.42,1250.28
1905,1093.67,1007.67,1023.59,1193.59,786.55,1060.66,1143.34,1030.18,985.47,1144.03,1006.00,1071.42,1102.88,908.83,838.30,1207.40,1008.20,1044.13,1297.90,1304.91,994.01,1023.51,1375.62,1023.61,1142.14,1188.41,1102.60,1099.67,840.62,1205.39,1209.54,1353.54,1038.93,1148.23,1088.30,1172.91,1118.99
1906,1286.30,1245.72,1177.03,1547.72,1038.95,1157.26,1282.60,1227.78,1180.64,1504.09,1281.80,1118.24,1256.98,1249.56,1095.08,1335.71,1224.50,1114.82,1396.60,1402.46,1173.84,1223.84,1413.25,1256.11,1253.88,1285.61,1265.20,1461.55,1078.79,1265.15,1565.57,1412.13,1340.83,1473.65,1253.82,1216.39,1398.93
1907,1131.52,1090.96,1015.62,1323.61,826.34,1026.11,1189.25,1068.94,1066.34,1273.42,1085.60,996.98,1154.11,1000.20,887.26,1244.02,1093.40,984.65,1320.90,1328.47,996.71,1101.11,1320.45,1111.92,1137.28,1185.05,1155.00,1225.27,877.31,1157.92,1339.91,1325.76,1133.09,1269.00,1132.18,1100.70,1226.21
1908,998.81,923.38,906.39,1164.69,727.88,941.71,1019.01,921.57,891.22,1109.00,927.80,948.25,975.72,881.54,773.09,1088.89,920.30,922.33,1187.50,1193.65,878.72,926.52,1242.74,937.13,1026.84,1074.56,974.70,1063.39,766.95,1077.49,1188.35,1219.95,972.92,1077.00,962.11,1040.48,1027.43
1909,1316.84,1250.94,1226.81,1520.76,1010.79,1232.16,1340.30,1257.02,1206.50,1463.89,1267.90,1211.08,1310.08,1184.18,1072.04,1396.71,1240.70,1195.22,1466.40,1472.97,1210.28,1249.11,1541.01,1265.41,1321.38,1358.51,1316.00,1412.47,1066.32,1361.91,1541.47,1519.42,1316.93,1448.22,1302.62,1320.33,1394.04
1910,1246.34,1145.05,1126.86,1393.80,918.71,1162.49,1276.96,1150.00,1108.47,1339.45,1152.20,1212.59,1230.17,1096.48,972.37,1351.78,1140.40,1154.03,1456.60,1464.83,1095.25,1153.15,1654.92,1156.27,1267.16,1322.82,1230.40,1293.05,963.29,1383.13,1417.20,1577.79,1199.27,1302.25,1212.05,1356.09,1245.26
1911,1030.29,942.10,970.69,1124.86,840.07,997.62,1047.23,968.84,887.68,1109.23,983.10,992.25,1008.89,981.03,870.87,1115.86,918.40,975.38,1206.50,1211.23,948.42,931.56,1240.43,935.60,1070.16,1110.08,1010.90,1090.92,862.44,1110.39,1134.55,1232.45,1018.04,1063.40,1003.71,1076.06,1000.69
1912,1133.93,1023.74,1044.90,1288.42,865.48,1101.06,1120.34,1036.86,972.63,1240.54,1053.40,1140.38,1075.60,1021.26,908.86,1201.42,1006.30,1097.69,1308.00,1313.06,1010.46,1014.67,1434.02,1031.04,1165.67,1213.32,1078.00,1199.79,905.45,1255.06,1310.34,1385.95,1101.63,1202.81,1069.68,1236.28,1139.33
1913,1075.93,978.71,1019.57,1154.77,830.17,1063.53,1094.93,1011.92,922.96,1134.46,1017.70,1055.47,1060.19,963.72,875.00,1168.76,956.20,1040.36,1256.30,1259.68,989.37,971.85,1337.93,974.46,1126.27,1167.19,1067.40,1109.84,872.68,1188.56,1163.16,1315.46,1048.96,1109.60,1057.77,1158.43,1054.11
