Variable:,pr
,"Bosnia and Herzegovina","Federacija Bosne I Hercegovine","Republika Srpska"
1901,1175.28,1215.56,1136.68
1902,1198.29,1238.73,1158.20
1903,1047.13,1075.97,1021.58
1904,968.08,1001.54,937.25
1905,1149.29,1200.06,1101.00
1906,1166.43,1199.33,1135.32
1907,999.24,1061.03,936.63
1908,1002.37,1047.04,956.39
1909,1235.44,1285.96,1184.99
1910,1425.57,1484.58,1367.93
1911,979.56,1007.30,951.94
1912,1169.44,1187.86,1156.57
1913,1132.05,1157.54,1110.62
1914,1131.10,1167.37,1096.18
1915,1675.36,1746.61,1603.25
1916,1210.28,1271.93,1150.37
1917,1028.65,1076.29,984.16
1918,934.34,966.07,903.93
1919,1287.10,1316.32,1259.70
1920,967.65,1025.38,907.63
1921,900.77,919.74,884.59
1922,1176.14,1207.10,1148.04
1923,1224.65,1290.86,1159.09
1924,1115.11,1158.24,1072.33
1925,1329.37,1364.75,1297.04
1926,1256.07,1301.52,1214.02
1927,1096.51,1127.23,1065.20
1928,982.51,1033.55,932.76
1929,1076.59,1115.12,1037.73
1930,1110.33,1168.64,1055.34
1931,1055.88,1089.42,1024.52
1932,1070.44,1108.36,1034.24
1933,1169.44,1216.01,1124.92
1934,1096.35,1143.36,1051.98
1935,941.56,980.20,903.63
1936,1134.55,1170.19,1100.20
1937,1519.93,1573.88,1468.70
1938,906.42,921.72,893.34
1939,1165.62,1217.07,1114.08
1940,1347.36,1381.58,1316.71
1941,1255.04,1296.76,1214.06
1942,1018.72,1055.83,982.09
1943,1068.56,1104.02,1033.67
1944,1179.97,1210.04,1149.50
1945,835.85,851.04,821.40
1946,860.55,884.62,837.84
1947,893.12,925.18,862.26
1948,993.77,1020.61,972.61
1949,956.66,994.30,918.23
1950,954.85,994.51,917.15
1951,1110.05,1157.52,1065.81
1952,1126.45,1167.93,1085.54
1953,886.44,923.63,851.21
1954,1097.20,1124.02,1072.68
1955,1305.21,1329.16,1284.34
1956,986.37,1023.55,950.36
1957,986.35,1016.86,957.90
1958,1038.06,1079.59,998.14
1959,1229.44,1278.68,1180.34
1960,1200.07,1267.80,1134.66
1961,975.62,1023.80,930.19
1962,1056.99,1095.67,1021.94
1963,1142.66,1179.14,1108.35
1964,1250.13,1295.85,1205.07
1965,1117.42,1150.92,1087.00
1966,1254.44,1314.68,1195.47
1967,1053.62,1088.04,1020.99
1968,1115.34,1146.63,1085.47
1969,1258.58,1304.33,1213.28
1970,1207.84,1237.72,1179.70
1971,866.89,897.03,836.53
1972,1089.39,1105.84,1077.27
1973,935.00,951.74,918.97
1974,1224.22,1270.74,1178.84
1975,942.00,981.62,903.06
1976,1232.68,1302.30,1161.57
1977,1093.52,1126.42,1062.76
1978,1169.98,1218.47,1120.92
1979,1185.14,1226.47,1144.88
1980,1209.82,1253.54,1167.21
1981,1166.90,1204.12,1130.86
1982,1003.23,1042.40,964.52
1983,813.49,837.88,791.13
1984,1157.81,1207.58,1110.30
1985,1001.54,1035.21,966.85
1986,1043.03,1077.57,1009.74
1987,1046.60,1065.99,1029.70
1988,975.67,1012.50,939.53
1989,954.54,961.84,951.66
1990,836.42,876.26,797.48
1991,1170.64,1202.15,1138.99
1992,964.08,995.52,936.43
1993,993.25,1022.65,967.44
1994,935.96,969.46,904.68
1995,1255.03,1309.56,1200.89
1996,1268.81,1322.42,1214.16
1997,1002.36,1042.94,963.69
1998,1099.81,1128.55,1074.08
1999,1297.22,1343.67,1250.20
2000,860.71,907.28,816.76
2001,1152.73,1191.14,1114.75
2002,1182.43,1232.29,1135.13
2003,845.97,866.81,825.34
2004,1265.60,1300.58,1230.98
2005,1276.32,1321.58,1230.79
2006,980.37,1003.35,960.35
2007,1056.47,1082.30,1032.97
2008,1055.06,1096.07,1014.51
2009,1169.83,1208.87,1131.81
2010,1478.42,1536.60,1417.60
2011,777.34,796.42,759.38
2012,1004.17,1042.76,966.10
2013,1271.28,1327.20,1215.96
2014,1480.16,1530.28,1432.76
2015,1023.87,1059.73,989.39
2016,1194.49,1221.58,1171.33
2017,963.62,995.81,933.82
2018,1065.73,1100.59,1033.25
2019,1254.92,1299.85,1212.14
2020,1011.03,1043.76,980.80
2021,1104.75,1144.68,1065.71
