Variable:,pr
,Belarus,Brest,Gomel,Grodno,Minsk,"Minsk City",Mogilev,Vitebsk
1901,615.14,583.65,598.85,644.59,623.09,623.10,633.42,616.31
1902,670.76,617.71,636.47,668.60,670.39,657.10,680.95,740.88
1903,740.58,676.41,704.84,741.26,758.63,749.40,767.14,788.11
1904,584.05,528.62,563.10,610.04,607.94,600.20,575.06,615.25
1905,686.13,640.77,695.78,689.06,685.29,685.50,691.85,707.61
1906,779.53,713.70,815.61,752.54,795.87,805.20,816.84,767.99
1907,589.80,553.68,577.95,594.36,598.67,600.20,611.67,602.28
1908,676.29,622.34,656.48,659.83,690.64,694.90,699.93,716.53
1909,614.75,554.24,600.24,584.72,634.22,635.40,671.21,634.55
1910,692.56,635.62,676.02,684.36,715.92,717.20,727.66,709.50
1911,529.14,496.82,567.65,497.91,521.85,518.60,533.41,539.99
1912,771.34,742.28,775.28,760.91,792.38,799.60,800.61,753.78
1913,668.97,642.47,680.40,686.20,669.88,667.90,663.88,669.66
1914,574.09,557.87,594.25,596.60,580.62,579.80,569.97,548.82
1915,676.07,590.78,695.47,647.80,677.67,674.10,733.46,697.95
1916,782.25,702.69,784.18,777.28,816.95,819.40,809.26,791.07
1917,685.29,612.92,660.60,679.42,717.48,727.90,713.48,717.70
1918,598.08,579.83,602.68,573.92,596.84,598.30,617.59,609.74
1919,625.02,604.62,685.25,616.29,595.07,574.70,640.82,603.94
1920,501.31,515.65,442.15,561.69,532.91,530.90,451.08,516.22
1921,590.53,564.78,536.43,619.84,608.28,602.40,571.11,642.62
1922,758.84,701.45,797.79,711.70,782.36,774.90,757.61,772.28
1923,699.21,637.06,695.72,708.27,707.86,701.00,701.59,734.70
1924,599.48,580.54,567.02,656.81,618.54,614.70,563.60,618.57
1925,702.14,617.06,695.07,675.91,706.62,709.20,732.22,766.69
1926,656.32,620.80,630.00,672.15,664.98,659.40,667.03,683.58
1927,712.87,601.46,677.02,658.35,743.23,747.20,768.71,799.20
1928,656.30,559.26,651.51,633.10,668.34,664.10,683.56,720.39
1929,574.66,551.16,550.11,598.49,580.99,572.40,563.29,604.96
1930,712.48,664.30,688.06,741.53,723.31,715.50,707.62,749.71
1931,685.82,640.82,700.37,668.68,705.97,726.50,709.94,679.20
1932,670.29,601.75,676.59,667.84,671.62,664.40,694.10,701.32
1933,771.03,693.17,819.05,731.64,764.81,777.10,840.62,764.12
1934,566.45,531.74,531.41,579.45,571.98,561.00,574.97,608.86
1935,698.88,644.25,672.33,723.31,706.28,711.80,717.30,732.81
1936,636.71,630.67,629.05,687.05,642.69,639.60,619.84,624.36
1937,665.24,592.19,736.12,623.90,655.81,645.50,719.78,647.80
1938,595.98,585.50,619.39,599.42,596.24,592.40,603.25,572.67
1939,603.06,621.77,598.31,657.51,606.23,593.50,579.64,572.50
1940,638.66,613.19,625.14,667.36,639.97,624.90,636.88,654.51
1941,602.16,614.35,691.57,576.27,561.22,549.00,618.69,547.86
1942,525.36,494.10,483.85,531.37,523.45,513.10,566.64,559.01
1943,638.72,606.90,559.20,699.85,672.85,680.80,616.02,687.67
1944,596.19,575.13,580.50,635.88,609.44,612.30,573.70,606.94
1945,657.21,663.93,578.68,754.45,674.91,655.20,609.04,686.92
1946,523.83,532.60,463.26,598.60,553.24,545.20,475.53,536.30
1947,668.32,612.68,699.28,658.36,671.56,678.20,699.87,661.14
1948,632.69,666.33,595.61,715.18,652.08,642.10,579.26,611.29
1949,598.71,569.28,601.56,631.72,606.90,609.80,601.72,588.44
1950,665.29,652.54,581.29,798.36,696.66,676.90,610.15,685.42
1951,479.65,475.07,459.62,524.99,487.80,472.30,449.68,488.56
1952,754.28,713.93,720.26,794.59,779.71,777.30,764.14,762.63
1953,533.41,444.18,545.05,472.09,531.09,532.00,591.85,590.09
1954,599.23,588.05,571.57,680.02,614.12,599.50,559.61,599.16
1955,630.53,631.39,602.88,646.38,654.54,669.00,603.08,643.15
1956,694.56,685.98,696.75,712.94,716.88,731.70,681.22,675.13
1957,685.98,615.09,637.02,697.36,707.56,687.90,700.60,751.93
1958,741.18,694.39,743.61,747.99,754.19,749.70,763.37,742.23
1959,506.21,527.54,469.60,576.37,531.17,528.50,457.74,492.30
1960,706.48,739.49,647.57,808.24,716.82,705.90,644.92,710.19
1961,539.69,457.90,530.75,538.17,538.96,537.50,572.31,591.77
1962,733.93,663.46,703.49,718.05,755.28,764.50,751.12,795.93
1963,535.31,531.56,470.55,596.82,567.07,577.20,503.24,556.02
1964,583.71,573.44,617.66,565.39,601.77,611.40,591.19,545.25
1965,583.09,560.14,572.64,611.25,592.88,579.40,567.91,595.84
1966,678.82,678.74,672.68,693.78,682.04,675.40,654.44,690.32
1967,654.06,628.53,633.14,679.58,673.89,677.90,638.88,670.70
1968,598.33,611.24,589.25,595.69,609.54,603.90,562.54,613.06
1969,611.17,532.11,676.31,572.20,596.80,589.50,676.53,599.15
1970,729.15,779.33,738.40,792.46,727.25,737.10,687.51,672.71
1971,573.88,509.72,627.88,536.42,552.08,544.50,621.81,580.79
1972,596.81,636.20,548.41,693.75,617.47,612.80,536.92,576.07
1973,642.02,619.65,631.23,644.47,667.64,681.20,660.09,629.65
1974,671.17,723.61,645.90,760.72,677.89,674.60,622.58,627.25
