Variable:,pr
,Switzerland,Aargau,"Appenzell Ausser-rhoden","Appenzell Inner-rhoden",Basel-landschaft,Basel-stadt,Bern,Fribourg,Geneve,Glarus,Graubunden,Jura,Luzern,Neuchatel,Nidwalden,Obwalden,"Sankt Gallen",Schaffhausen,Schwyz,Solothurn,Thurgau,Ticino,Uri,Valais,Vaud,Zug,Zurich
1901,1305.87,1098.19,1106.43,1114.54,1027.34,939.70,1215.57,1074.69,1044.79,1380.15,1409.75,1025.11,1189.26,1059.09,1544.04,1543.20,1150.56,985.11,1311.21,1045.06,934.88,1572.35,1662.48,1605.51,1133.12,1166.23,1121.03
1902,1206.07,1041.41,1058.33,1068.51,941.56,843.20,1163.08,1039.95,1014.95,1287.59,1235.71,931.00,1146.42,996.08,1524.74,1536.10,1095.02,955.50,1234.43,959.75,925.77,1384.91,1558.19,1431.99,1083.52,1111.99,1071.86
1903,1166.08,979.58,1044.94,1054.89,897.24,818.40,1080.81,949.23,900.45,1269.80,1257.55,868.76,1068.05,915.65,1445.57,1451.80,1078.49,896.63,1183.61,906.05,874.46,1426.24,1517.90,1394.30,984.73,1046.95,1010.72
1904,1085.47,925.36,1039.13,1047.07,822.81,742.30,1001.23,867.40,799.32,1225.34,1222.22,805.29,1007.09,827.62,1354.50,1358.40,1066.17,886.44,1147.79,836.55,880.60,1298.69,1432.94,1204.98,883.25,1018.36,990.98
1905,1344.29,1194.29,1197.97,1208.86,1097.15,993.70,1292.59,1096.25,960.19,1436.55,1385.62,1039.55,1298.18,1034.31,1685.00,1695.60,1233.51,1064.88,1379.71,1106.46,1017.26,1620.40,1726.78,1597.73,1093.71,1252.75,1202.10
1906,1026.78,928.81,1063.30,1071.31,829.92,767.80,932.40,782.56,704.29,1192.04,1168.64,784.31,976.93,762.99,1227.95,1223.90,1079.95,902.17,1124.20,832.32,914.69,1168.69,1331.57,1110.08,792.11,1018.36,995.74
1907,1104.92,922.19,1010.35,1020.30,824.38,736.50,1021.40,907.65,907.78,1200.16,1153.74,791.82,1002.40,853.73,1326.79,1328.60,1038.17,873.54,1151.29,834.27,835.64,1305.74,1413.94,1384.30,958.83,1024.87,993.86
1908,1104.78,1025.82,1059.84,1067.83,956.84,879.30,1056.28,922.08,816.12,1220.44,1167.08,926.29,1077.27,906.44,1309.36,1306.80,1083.04,943.18,1185.80,966.25,903.27,1249.85,1400.18,1208.95,910.61,1086.96,1053.32
1909,1178.04,1075.02,1095.67,1105.60,980.71,896.10,1127.07,988.11,955.83,1284.55,1229.40,962.91,1146.63,980.62,1449.63,1456.50,1126.44,1014.02,1246.68,994.08,972.30,1306.29,1490.77,1331.76,1017.21,1145.02,1114.05
1910,1523.97,1389.19,1462.06,1475.53,1248.12,1135.10,1470.07,1317.89,1340.50,1671.37,1566.82,1266.08,1484.71,1321.16,1874.73,1885.20,1493.40,1335.30,1622.95,1276.32,1279.65,1609.08,1914.59,1701.46,1388.47,1496.43,1460.61
