Variable:,pr
,"United Kingdom",England,"Northern Ireland",Scotland,Wales
1901,972.07,734.68,1037.92,1337.36,1203.86
1902,902.55,701.84,962.14,1207.72,1128.50
1903,1356.33,1065.95,1264.89,1813.13,1689.55
1904,968.21,744.77,1013.65,1326.34,1193.59
1905,946.47,692.08,933.17,1391.06,1084.73
1906,1105.43,837.84,1041.45,1541.69,1346.92
1907,1100.18,842.48,1106.11,1515.01,1306.28
1908,1007.42,744.74,1065.18,1421.28,1242.31
1909,1102.85,870.81,1050.25,1472.15,1320.35
1910,1141.50,915.92,1126.32,1456.10,1530.17
1911,1026.67,773.38,949.25,1455.22,1236.08
1912,1222.53,1007.37,1099.55,1557.56,1536.76
1913,1009.27,793.16,1047.69,1313.12,1345.10
1914,1128.95,888.86,1100.14,1499.16,1432.26
1915,1117.14,917.40,1040.43,1418.81,1399.06
1916,1234.68,945.27,1255.70,1714.18,1394.60
1917,1051.91,812.63,1133.67,1432.65,1266.50
1918,1156.01,899.40,1149.89,1551.15,1467.62
1919,1083.12,873.57,1003.60,1416.85,1342.14
1920,1155.91,884.06,1203.66,1550.11,1521.90
1921,894.15,594.41,1010.36,1404.82,1002.90
1922,1067.84,871.88,1000.22,1374.89,1322.96
1923,1237.56,927.98,1290.64,1720.96,1554.69
1924,1207.34,980.62,1266.07,1513.47,1600.06
1925,1101.12,879.24,1048.45,1438.45,1395.03
1926,1114.79,840.13,1113.95,1577.03,1286.60
1927,1256.35,1016.11,1188.84,1633.63,1525.68
1928,1259.51,948.53,1347.26,1745.31,1536.01
1929,1070.52,818.38,1136.21,1441.04,1417.63
1930,1210.41,961.25,1233.62,1562.31,1590.48
1931,1140.39,903.69,1196.17,1485.44,1432.14
1932,1120.55,844.26,1073.18,1572.43,1364.11
1933,873.12,673.91,832.98,1212.83,1025.28
1934,1066.89,772.04,1156.61,1549.69,1258.02
1935,1190.14,947.53,1070.60,1589.52,1462.44
1936,1090.34,886.76,1146.72,1364.33,1420.32
1937,1070.08,898.34,1080.59,1320.53,1304.33
1938,1181.25,836.13,1230.91,1768.38,1364.95
1939,1116.41,925.00,1093.75,1385.17,1433.02
1940,1084.09,844.02,1261.43,1416.18,1392.02
1941,992.59,806.43,1015.96,1269.10,1200.51
1942,1048.87,768.72,1225.93,1480.48,1300.24
1943,1062.71,763.36,1147.02,1537.51,1336.53
1944,1117.10,853.64,1167.01,1534.61,1331.13
1945,1047.43,777.69,1068.26,1483.47,1255.09
1946,1167.34,963.09,1180.69,1446.80,1539.14
1947,1004.96,758.14,1167.23,1354.02,1293.78
1948,1212.93,878.06,1260.94,1757.43,1459.43
1949,1048.94,732.80,1089.86,1601.56,1181.15
1950,1208.36,926.72,1275.00,1641.86,1534.57
1951,1232.29,1001.50,1150.31,1583.27,1567.11
1952,1021.35,812.99,966.16,1335.90,1357.26
1953,939.16,689.96,882.87,1371.71,1118.70
1954,1315.18,1002.32,1330.68,1798.94,1657.66
1955,916.19,724.95,1019.48,1194.03,1151.89
1956,1037.80,799.19,1081.85,1436.90,1185.28
1957,1092.80,828.43,1186.09,1493.39,1383.80
1958,1174.81,974.94,1269.08,1416.27,1564.91
1959,996.13,753.18,1025.93,1356.68,1343.71
1960,1260.54,1085.35,1263.91,1435.89,1786.94
1961,1097.37,829.67,1138.58,1533.47,1315.19
1962,1019.43,737.43,1071.81,1492.58,1177.95
1963,1015.53,800.36,1119.48,1348.04,1157.67
1964,916.30,666.78,1061.92,1327.25,1063.16
1965,1156.20,942.07,1222.92,1468.39,1430.05
1966,1206.33,968.85,1331.87,1557.88,1437.84
1967,1201.44,928.09,1219.90,1614.77,1554.66
1968,1115.88,932.69,1099.15,1382.55,1349.68
1969,1026.15,862.27,1024.45,1251.44,1349.39
1970,1122.17,860.37,1161.49,1507.34,1489.29
1971,950.97,762.47,904.93,1232.36,1258.86
1972,981.04,801.95,1039.06,1204.76,1377.29
1973,925.37,693.26,976.65,1298.22,1193.98
1974,1167.44,941.19,1153.94,1504.64,1509.15
1975,925.31,704.38,893.22,1301.21,1101.57
1976,996.74,765.37,1078.35,1365.11,1172.64
1977,1117.91,874.84,1104.87,1479.15,1448.65
1978,1077.33,839.70,1102.22,1461.80,1264.68
1979,1175.41,932.56,1171.98,1547.32,1503.98
1980,1178.88,913.09,1223.40,1597.91,1415.76
1981,1176.08,933.77,1232.74,1534.68,1502.81
1982,1221.11,913.59,1208.09,1728.47,1458.41
1983,1089.17,828.63,998.93,1515.06,1370.02
1984,1126.57,862.40,1105.72,1554.65,1368.26
1985,1131.72,828.91,1139.43,1635.64,1319.91
1986,1199.08,924.07,1197.64,1634.37,1494.04
1987,1096.17,873.95,1041.82,1443.60,1355.41
1988,1177.73,874.29,1242.99,1662.89,1430.24
1989,1040.27,762.06,996.94,1505.10,1331.67
1990,1213.00,782.73,1249.54,1969.29,1385.48
1991,1021.93,738.00,1025.69,1493.30,1244.54
1992,1220.97,913.36,1187.68,1741.45,1464.29
1993,1190.58,933.91,1185.12,1597.00,1447.53
1994,1243.43,949.45,1175.19,1700.80,1642.12
1995,1084.38,785.81,1131.66,1578.35,1297.80
1996,957.41,702.58,1072.52,1362.15,1153.91
1997,1066.98,801.15,1084.21,1491.12,1308.27
1998,1301.13,989.09,1263.17,1797.19,1641.05
1999,1250.28,970.38,1263.75,1682.00,1612.18
2000,1354.25,1109.70,1259.41,1704.51,1778.24
2001,1068.86,890.84,935.48,1363.08,1302.08
2002,1356.57,1063.36,1396.10,1776.69,1742.89
2003,910.25,717.19,955.41,1194.89,1169.98
2004,1158.46,898.96,1133.62,1587.35,1382.36
2005,1068.31,798.53,1070.35,1522.69,1257.71
2006,1124.27,868.61,1175.21,1526.97,1370.77
2007,1156.84,930.58,1100.52,1519.48,1415.19
2008,1271.67,1008.27,1341.13,1658.94,1587.04
2009,1231.44,910.60,1293.65,1754.42,1476.83
2010,1016.26,794.52,1030.22,1376.22,1216.45
2011,1105.52,751.14,1236.97,1732.32,1159.86
2012,1342.85,1121.28,1219.39,1655.23,1755.98
2013,1100.66,849.63,1126.60,1487.74,1386.06
