Variable:,pr
,Iceland,Arnes,Austur-baroastrandar,Austur-hunavatns,Austur-skaftafells,Borgarfjaroar,Dala,Eyjafjaroar,Gullbringu,Kjosar,Myra,"Nordhurland Eystra",Norour-isafjaroar,Norour-mùla,Norour-pingeyjar,Rangárvalla,Skagafjaroar,"Snaefellsnes- Og Hna",Stranda,Suour-mùla,Suour-pingeyjar,Vestur-baroastrandar,Vestur-hunavatns,Vestur-isafjaroar,Vestur-skaftafells
1901,971.13,1001.65,629.25,685.13,1627.79,903.46,654.52,702.08,1030.97,959.06,822.25,822.25,713.25,1047.36,623.17,1208.76,704.80,824.72,602.49,1177.07,911.97,851.72,647.40,860.38,1471.45
1902,864.52,884.29,586.15,612.49,1423.27,804.92,597.36,633.66,913.86,851.93,737.81,737.81,672.34,935.16,569.77,1057.94,632.58,742.22,553.65,1047.37,811.71,791.47,579.68,814.23,1270.65
1903,931.35,953.70,604.15,651.32,1560.70,858.25,625.48,674.16,980.35,908.53,780.52,780.52,684.33,1025.22,616.96,1148.40,672.17,778.44,574.74,1165.70,873.01,813.18,614.46,829.02,1383.62
1904,1017.59,1062.03,673.63,713.83,1706.11,959.00,699.56,729.66,1126.27,1033.87,876.95,876.95,761.66,1080.54,636.37,1277.01,732.03,888.43,637.79,1214.30,945.09,915.14,679.11,929.15,1542.74
1905,921.49,945.66,618.55,652.80,1521.57,859.29,634.32,674.64,980.56,911.54,786.50,786.50,705.42,999.68,605.32,1131.25,673.10,787.51,588.80,1125.48,864.37,826.49,619.33,845.87,1355.37
1906,952.93,976.19,631.50,679.79,1565.03,879.26,649.68,700.95,989.03,919.22,800.73,800.73,715.46,1041.24,644.79,1169.11,699.40,793.15,605.80,1170.87,900.05,838.86,643.71,855.87,1401.20
1907,803.57,842.25,546.29,577.01,1321.15,765.77,566.30,588.49,893.45,817.48,702.62,702.62,619.85,845.64,511.56,1002.69,592.15,704.13,520.08,943.67,747.67,726.88,548.59,745.50,1186.74
1908,957.58,976.95,563.30,648.36,1690.44,864.64,612.19,668.67,1017.15,925.20,784.53,784.53,619.07,1072.63,623.32,1205.86,669.27,779.00,541.87,1240.64,897.16,745.11,605.97,749.74,1486.43
1909,809.30,813.60,488.64,561.56,1397.15,723.65,519.06,584.12,817.03,756.40,653.45,653.45,545.80,913.59,546.40,998.43,583.27,636.11,476.67,1054.68,769.37,630.28,522.38,637.72,1227.02
1910,812.56,849.38,529.96,577.87,1356.01,768.81,558.31,587.20,903.70,824.93,702.99,702.99,598.98,862.97,515.60,1018.61,592.30,704.03,510.77,975.39,757.94,704.75,547.53,714.81,1225.38
1911,831.21,858.26,497.22,578.76,1435.92,764.65,536.52,594.75,895.16,816.16,689.57,689.57,557.25,911.27,539.55,1044.94,597.70,681.90,483.39,1039.99,784.24,659.73,537.92,666.38,1279.18
1912,752.03,842.02,521.95,554.04,1211.50,768.00,553.09,536.39,951.29,848.60,706.15,706.15,592.67,723.20,428.41,982.84,555.74,732.05,496.09,789.71,677.42,715.54,531.51,723.03,1151.41
1913,883.81,949.62,565.28,636.75,1469.81,856.94,609.80,639.37,1002.44,918.79,779.04,779.04,628.45,918.44,549.49,1129.44,648.83,776.88,547.64,1030.62,817.72,746.57,603.51,749.88,1349.22
1914,842.64,907.96,553.75,608.00,1394.69,820.98,587.91,604.46,984.41,889.63,749.55,749.55,623.98,863.90,520.52,1077.73,616.01,758.23,535.18,959.45,775.05,737.43,578.44,745.61,1287.80
1915,732.21,746.88,439.48,513.28,1265.82,666.05,473.45,524.70,767.08,706.76,602.87,602.87,487.97,814.25,491.30,906.70,529.00,596.24,427.53,933.50,692.78,572.84,474.80,580.47,1115.01
1916,701.83,702.42,400.79,483.07,1232.86,618.79,431.59,502.45,696.21,647.39,553.63,553.63,448.70,803.14,482.20,865.76,502.59,536.88,393.65,930.95,672.56,516.40,440.93,525.65,1077.25
1917,723.85,814.20,510.67,534.03,1159.64,745.27,538.92,520.32,922.61,825.13,686.78,686.78,581.27,684.60,410.57,947.59,536.53,709.27,483.42,739.58,651.72,694.72,513.71,706.47,1110.07
1918,1015.41,978.11,667.03,719.06,1642.13,884.79,666.09,790.92,910.98,886.48,799.06,799.06,767.04,1201.01,763.35,1170.85,761.58,763.86,642.69,1389.93,981.54,856.48,670.46,891.03,1408.06
1919,891.65,943.24,657.83,665.51,1379.35,872.90,658.79,692.94,969.41,911.23,800.48,800.48,754.94,912.88,580.13,1090.94,685.01,793.59,625.78,996.05,831.05,863.88,641.63,882.61,1268.21
