Variable:,pr
,Moldova,Balti,Cahul,Chisinau,Dubasari,Edinet,Gagauzia,Lapusna,Orhei,Soroca,Tighina,Ungheni
1901,591.09,559.45,614.83,611.53,583.22,547.02,628.78,636.97,590.74,559.28,609.11,593.27
1902,419.64,421.11,398.68,424.10,421.74,426.13,410.18,418.16,423.16,419.48,419.62,424.01
1903,382.85,376.06,404.09,370.85,364.59,394.85,407.13,404.49,364.80,378.23,380.38,376.25
1904,410.30,414.27,407.72,404.84,392.60,416.27,415.53,427.65,409.15,418.99,394.08,422.41
1905,426.80,442.82,390.70,421.18,432.25,462.11,393.94,417.11,423.28,441.52,416.85,419.00
1906,522.09,508.13,506.64,527.55,529.31,515.03,523.80,532.67,524.49,520.38,527.74,525.30
1907,435.67,420.10,426.24,445.63,430.18,439.30,443.41,458.27,432.08,427.78,444.88,425.06
1908,465.39,468.52,449.37,460.88,463.05,486.60,453.54,464.32,468.48,472.60,450.08,469.69
1909,464.72,452.56,462.64,476.59,466.11,455.05,471.39,475.59,475.33,451.94,455.55,474.66
1910,537.80,530.48,515.58,547.75,543.83,535.52,534.57,544.09,548.05,537.48,530.35,542.67
1911,510.12,532.50,463.94,507.64,503.77,542.53,472.46,500.87,528.11,540.77,469.40,528.35
1912,699.81,706.16,657.93,715.48,697.43,698.24,675.87,712.80,716.36,702.88,680.69,730.58
1913,449.42,480.60,419.68,435.82,432.53,509.97,422.96,439.45,445.23,464.55,411.26,458.13
1914,632.66,597.65,632.02,661.98,644.84,576.75,651.55,668.39,641.58,597.97,658.36,647.29
1915,546.69,528.04,559.65,555.75,541.85,527.97,562.81,569.09,546.21,526.43,548.35,563.67
1916,487.48,507.79,432.41,483.93,486.09,538.30,436.38,467.82,501.04,521.51,455.92,494.45
1917,462.80,424.94,440.29,491.94,498.69,424.03,452.86,467.73,493.35,456.14,472.95,461.87
1918,478.19,471.83,459.44,488.14,488.18,477.70,466.96,477.53,490.67,475.88,467.58,489.04
1919,611.07,568.93,631.13,637.40,618.42,556.11,636.97,651.97,618.54,579.50,631.31,620.20
1920,404.63,427.99,389.33,397.85,387.08,445.38,380.32,396.58,406.76,414.76,372.58,420.71
1921,397.42,397.95,393.91,398.99,376.50,420.09,389.81,406.28,405.02,401.09,369.86,420.27
1922,599.99,627.45,539.79,584.80,587.19,673.04,542.23,578.39,619.25,646.14,550.09,614.39
1923,471.92,495.17,437.28,455.10,454.99,533.85,434.83,454.97,480.24,513.65,425.01,484.02
1924,386.22,386.89,381.90,382.96,381.55,410.15,377.84,388.64,385.01,390.91,365.30,391.34
1925,461.50,476.15,442.57,447.12,460.87,490.67,443.51,450.05,462.41,482.04,441.83,457.89
1926,499.96,497.82,450.72,512.47,510.43,500.93,474.77,507.29,510.08,499.54,503.23,515.83
1927,438.14,459.66,399.46,429.76,434.78,472.89,401.55,426.41,452.28,459.26,405.22,454.78
1928,452.66,473.08,411.55,451.44,447.93,476.92,416.57,438.56,479.45,482.33,413.30,473.54
1929,398.45,401.66,374.51,399.48,400.43,414.82,377.47,397.41,407.76,408.34,384.64,400.48
1930,490.04,484.43,450.22,498.96,507.44,494.37,457.95,494.39,492.17,491.04,503.43,489.16
1931,483.95,480.73,463.51,488.55,500.46,469.42,460.69,480.14,499.36,498.62,481.21,486.68
1932,544.28,528.00,528.60,554.35,552.10,523.38,547.30,564.24,550.17,539.18,551.62,548.83
1933,627.77,610.71,636.45,629.60,639.40,607.32,633.15,637.70,629.57,625.82,630.55,623.03
1934,383.80,392.13,372.33,377.59,374.85,392.66,372.94,387.55,391.26,396.79,363.82,399.13
1935,382.38,377.01,368.83,383.23,390.80,395.29,370.30,377.19,389.14,382.68,379.23,378.34
1936,466.33,485.35,421.97,467.81,465.60,480.11,431.94,457.58,483.73,490.66,438.88,491.70
1937,540.79,540.15,510.62,547.96,545.10,546.51,511.73,540.56,561.34,562.81,520.20,551.83
1938,445.10,457.93,400.59,445.01,449.70,470.33,405.39,434.82,460.10,463.08,425.49,455.11
1939,434.57,422.09,458.04,427.00,428.24,439.14,443.19,440.42,432.16,431.78,432.53,431.20
