Variable:,pr
,Macedonia,Berovo,Bitola,Brod,Debar,Delcevo,"Demir Hisar",Gevgelija,Gostivar,Kavadarci,Kicevo,Kocani,Kratovo,"Kriva Palanka",Krusevo,Kumanovo,Negotino,Ohrid,Prilep,Probistip,Radovic,Resen,Skopje,Stip,Struga,Strumica,"Sveti Nikole",Tetovo,Valandovo,Veles,Vinica
1901,802.84,754.27,812.54,870.13,1132.90,757.69,867.16,627.71,1142.29,684.04,1050.24,716.47,811.95,822.19,836.10,707.11,650.64,1080.29,763.15,717.03,685.83,971.35,781.12,644.52,1083.78,636.93,637.90,954.27,619.93,664.92,739.74
1902,690.24,628.89,653.63,777.07,1020.04,633.12,730.44,528.20,1048.48,562.30,942.37,605.83,700.74,707.76,699.10,627.80,542.48,937.08,629.67,609.63,574.13,791.54,701.64,542.47,949.05,542.36,549.80,877.54,523.99,579.66,617.23
1903,625.08,556.47,612.17,707.78,897.24,554.86,657.63,504.56,932.86,533.00,837.95,535.30,607.53,612.75,633.20,553.20,509.67,822.39,584.76,542.18,519.08,726.78,635.37,494.03,828.00,504.78,504.33,788.42,500.34,534.21,548.19
1904,645.04,583.30,651.91,719.67,914.95,577.40,691.90,527.61,936.09,561.39,853.41,549.46,609.35,615.08,667.60,550.51,533.05,858.49,616.68,554.92,542.06,773.66,638.36,513.75,861.43,526.46,519.11,783.99,522.68,547.96,574.21
1905,669.72,654.72,627.60,740.62,917.90,660.82,677.91,536.12,964.03,564.40,863.41,625.13,716.72,725.73,654.70,624.39,552.20,830.23,612.67,624.62,591.43,725.47,679.57,555.03,839.83,555.30,551.37,829.93,531.89,572.28,641.32
1906,739.44,673.79,760.85,809.20,1045.79,672.74,802.52,591.28,1055.03,639.98,971.21,639.76,723.00,730.96,774.10,641.06,603.67,999.72,710.06,644.05,619.99,910.07,721.24,584.38,1000.77,590.74,586.18,881.55,584.31,616.19,662.04
1907,585.09,509.70,589.24,666.88,876.00,496.63,634.51,484.28,894.00,504.30,807.65,465.66,503.64,506.60,608.20,473.43,476.61,814.50,554.84,471.18,474.28,717.60,582.87,447.30,818.09,481.64,460.57,738.21,481.46,493.91,501.21
1908,556.82,504.13,545.70,635.24,801.04,497.67,581.65,475.61,833.05,482.20,747.67,464.05,506.31,509.88,559.50,470.33,463.02,731.09,518.81,464.47,463.69,647.95,563.92,433.70,736.19,478.75,444.90,708.64,474.24,474.45,494.26
1909,774.36,729.75,765.99,847.09,1094.56,734.92,825.38,602.37,1119.90,652.12,1017.86,698.45,800.08,810.27,796.00,695.37,625.24,1023.34,726.43,700.32,663.47,908.93,763.35,624.55,1030.30,615.17,618.87,936.78,595.55,644.82,715.90
1910,686.30,617.07,682.62,762.90,987.21,616.54,726.93,557.85,1017.28,584.79,915.46,586.77,672.37,677.96,700.20,613.87,556.31,909.15,642.45,591.29,566.64,814.20,691.61,532.04,913.40,561.59,540.79,870.06,554.10,572.20,605.33
1911,656.70,651.67,665.10,717.48,881.07,640.49,686.12,561.53,909.04,588.43,830.31,580.50,619.76,625.83,666.30,559.00,563.81,822.09,631.55,575.80,585.31,762.78,640.23,541.13,824.34,571.30,533.07,777.75,556.96,555.57,636.78
1912,717.32,707.41,686.16,784.32,966.81,718.75,730.35,578.96,1007.41,609.15,910.80,675.38,771.43,781.31,706.70,670.85,593.48,887.68,661.14,669.32,634.96,792.55,721.85,592.16,895.22,600.02,584.50,878.50,574.48,605.25,691.81
1913,660.64,594.07,642.12,745.61,932.43,603.42,688.60,517.62,978.84,555.62,876.27,588.49,691.66,699.53,664.60,609.80,530.41,849.30,614.68,594.37,549.81,754.27,675.33,522.49,855.97,521.74,532.84,832.06,512.48,562.65,584.73
