Variable:,pr
,"Republic of Montenegro",Andrijevica,Bar,Berane,"Bijelo Polje",Budva,Cetinje,Danilovgrad,"Herceg Novi",Kolasin,Kotor,Mojkovac,Niksic,Plav,Pljevlja,Pluzine,Podgorica,Rozaj,Savnik,Tivat,Ulcinj,Zabljak
1901,1422.42,1336.90,1733.00,1315.19,1268.03,1489.20,1499.16,1478.37,1398.50,1413.03,1459.81,1356.12,1439.05,1322.60,1297.13,1344.96,1607.85,1234.80,1390.27,1489.20,1692.48,1307.12
1902,1447.47,1349.10,1742.66,1318.16,1266.94,1596.40,1579.60,1508.43,1480.91,1435.08,1543.86,1368.33,1499.25,1323.61,1298.05,1360.72,1617.34,1203.60,1407.01,1596.40,1707.29,1308.36
1903,1206.20,1143.40,1457.63,1117.69,1072.98,1302.10,1291.69,1255.85,1206.68,1203.30,1257.67,1150.00,1228.01,1123.04,1089.76,1128.51,1356.13,1022.50,1175.32,1302.10,1425.47,1096.37
1904,1131.89,1047.30,1416.32,1027.16,972.45,1303.40,1258.21,1174.18,1175.85,1111.89,1213.85,1054.57,1157.68,1034.51,989.41,1040.27,1290.36,952.60,1082.54,1303.40,1438.08,996.99
1905,1308.87,1225.40,1538.94,1204.79,1160.66,1503.40,1460.44,1347.30,1378.71,1286.05,1430.97,1230.38,1368.57,1208.97,1161.29,1218.13,1432.08,1128.50,1255.07,1503.40,1498.76,1168.75
1906,1304.86,1214.40,1572.14,1189.07,1151.97,1436.50,1426.46,1347.04,1343.23,1281.30,1396.37,1230.64,1353.53,1195.87,1179.08,1217.49,1453.71,1095.30,1260.34,1436.50,1559.54,1186.44
1907,1193.04,1079.40,1518.27,1050.84,1001.37,1394.10,1359.48,1241.61,1271.65,1160.69,1318.55,1096.03,1253.06,1059.05,1026.02,1086.59,1370.22,945.10,1131.81,1394.10,1519.58,1035.17
1908,1180.29,1089.70,1418.36,1062.65,1006.76,1367.80,1337.67,1233.66,1265.64,1165.70,1312.21,1099.79,1255.60,1066.67,1025.57,1086.22,1312.20,962.50,1132.56,1367.80,1370.92,1033.40
1909,1448.78,1348.40,1715.15,1322.65,1274.97,1555.40,1563.77,1507.63,1474.78,1435.54,1538.83,1374.09,1509.11,1328.59,1312.92,1380.52,1602.99,1227.30,1415.09,1555.40,1667.06,1325.16
1910,1654.71,1559.40,1860.33,1515.36,1486.78,1796.30,1784.41,1731.75,1692.69,1662.63,1765.66,1596.76,1732.54,1515.42,1537.66,1600.92,1778.83,1352.30,1644.99,1796.30,1734.04,1549.46
1911,1151.94,1090.80,1364.73,1072.00,1023.86,1238.80,1236.33,1194.99,1157.52,1145.81,1211.98,1096.78,1185.14,1076.90,1041.72,1083.31,1276.86,1002.40,1120.98,1238.80,1344.24,1048.71
1912,1374.40,1329.30,1574.52,1308.31,1263.55,1403.90,1406.56,1442.79,1314.36,1401.77,1376.38,1346.33,1374.48,1310.09,1288.77,1320.57,1509.11,1230.60,1377.23,1403.90,1489.68,1296.40
1913,1271.80,1251.50,1409.47,1219.45,1211.13,1241.30,1272.61,1317.22,1187.98,1292.59,1258.35,1264.12,1272.64,1222.20,1237.29,1250.07,1367.85,1100.80,1282.95,1241.30,1371.20,1244.01
1914,1362.57,1300.50,1606.43,1276.83,1232.83,1457.90,1435.55,1418.19,1343.49,1368.08,1396.35,1314.40,1368.99,1281.27,1256.86,1293.00,1511.61,1189.20,1343.66,1457.90,1553.24,1265.42
