Variable:,pr
,Norway,Akershus,Aust-agder,Buskerud,Finnmark,Hedmark,Hordaland,"Moere Og Romsdal",Nord-troendelag,Nordland,Oestfold,Oppland,Oslo,Rogaland,Soer-Troendelag,"Sogn og Fjordane",Telemark,Troms,Vest-Agder,Vestfold
1901,862.70,627.02,951.76,696.95,430.12,527.62,1520.20,1155.86,924.46,1259.62,596.65,657.52,683.80,1477.08,776.38,1404.98,753.03,624.38,1271.85,742.87
1902,879.34,595.13,864.42,579.87,494.62,527.92,1482.94,1359.55,1023.40,1215.96,665.54,628.04,611.58,1342.88,909.86,1524.97,650.54,687.81,1143.32,699.09
1903,1032.79,827.14,1346.01,868.75,508.66,654.46,1976.56,1328.00,1113.11,1222.61,868.44,775.73,887.58,2023.90,904.38,1710.88,1006.72,640.69,1813.41,1037.96
1904,796.98,542.94,946.09,541.71,428.82,444.90,1498.22,1012.02,952.69,1102.53,607.88,505.92,577.34,1500.66,741.93,1278.71,670.42,579.35,1307.51,682.48
1905,998.15,620.27,1046.66,663.49,514.36,564.85,1850.30,1716.71,1137.94,1183.21,642.10,739.32,657.83,1657.49,1048.74,1942.42,786.65,687.65,1414.09,759.56
1906,999.74,680.50,1143.56,741.36,471.90,604.00,1853.00,1614.90,1101.94,1173.87,701.07,787.53,730.17,1766.01,1004.36,1886.56,838.25,634.95,1557.65,826.65
1907,982.09,854.89,1178.46,832.02,492.69,669.48,1722.23,1359.85,1084.96,1163.73,881.13,771.00,900.75,1746.75,930.77,1591.22,904.76,665.47,1567.71,994.37
1908,915.91,666.83,1057.16,740.86,482.28,540.72,1702.44,1305.49,957.69,1160.21,644.74,685.93,735.53,1593.80,840.19,1578.23,818.27,698.43,1404.16,814.44
1909,1037.53,930.71,1156.06,886.02,487.71,722.60,1777.64,1483.37,1137.91,1287.09,962.02,851.85,994.62,1686.06,1000.24,1738.10,935.57,718.93,1487.12,1056.12
1910,916.15,869.84,1292.94,894.22,440.08,633.58,1626.22,1111.82,928.14,1047.17,855.27,742.26,949.74,1795.17,780.35,1370.57,975.34,590.07,1705.27,1065.74
1911,931.01,598.28,1084.45,635.82,505.58,474.53,1734.13,1393.17,1034.82,1224.19,680.37,612.05,641.06,1711.67,900.09,1576.98,779.21,725.79,1499.88,785.04
1912,924.44,851.19,1214.49,851.33,472.98,705.05,1708.26,1068.39,1002.05,1012.49,874.83,734.16,910.71,1799.96,822.51,1379.06,919.94,592.82,1621.46,983.27
1913,942.97,622.85,1023.36,706.19,428.07,558.17,1793.84,1461.39,1054.18,1230.92,629.45,717.57,672.97,1659.11,923.91,1716.53,765.83,627.26,1384.53,760.36
1914,976.58,623.68,1270.23,725.04,485.59,497.65,1943.45,1410.73,1032.39,1226.32,622.70,682.84,689.20,1947.25,856.16,1742.45,899.79,636.99,1745.56,867.04
1915,825.63,715.51,863.57,704.45,422.46,620.53,1251.03,1186.10,1025.89,1014.35,705.79,711.53,767.41,1206.90,891.58,1263.61,705.68,577.30,1110.61,782.34
1916,1004.13,904.02,1435.70,954.09,402.60,734.04,1976.84,1300.53,1038.99,991.27,883.51,850.63,981.01,2112.94,928.29,1635.91,1058.28,549.63,1944.42,1099.40
1917,994.51,628.97,1123.17,660.63,504.84,514.78,1893.51,1627.93,1097.85,1256.98,711.73,692.96,664.47,1796.28,968.79,1870.15,815.06,685.17,1508.30,822.57
1918,937.55,695.82,1061.43,759.95,434.14,598.09,1807.01,1309.47,1011.50,1185.05,719.23,728.51,738.89,1632.25,862.41,1676.45,842.33,640.75,1388.67,826.77
1919,832.00,608.20,867.52,635.87,437.96,519.10,1433.67,1157.16,1007.06,1115.74,642.12,641.97,650.29,1308.05,790.48,1408.53,677.57,612.26,1146.44,690.35
1920,1050.93,857.91,1333.05,865.32,534.09,650.85,1986.94,1266.32,1108.40,1414.43,861.43,748.53,919.19,2000.71,847.14,1636.14,1014.50,752.52,1764.73,1037.50
