Variable:,pr
,Russia,"Adygeya Rep.","Aginskiy Buryatskiy A. Okrug","Altay Rep.","Altayskiy Kray","Amurskaya Oblast","Arkhangelskaya Oblast","Astrakhanskaya Oblast","Bashkortostan Rep.","Belgorodskaya Oblast","Bryanskaya Oblast","Buryatiya Rep.","Chechnya Rep.","Chelyabinskaya Oblast","Chitinskaya Oblast","Chukotskiy Okrug","Chuvashiya Rep.","Dagestan Rep.","Evenkiyskiy Okrug","Ingushetiya Rep.","Irkutskaya Oblast","Ivanovskaya Oblast","Kabardino-balkariya Rep.","Kaliningradskaya Oblast","Kalmykiya Rep.","Kaluzhskaya Oblast","Kamchatskaya Oblast","Karatchayevo-cherkesiya Rep.","Karelya Rep.","Kemerovskaya Oblast","Khabarovskiy Kray","Khakasiya Rep.","Khanty-mansyiskiy Okrug","Kirovskaya Oblast","Komi Rep.","Komi-permyatskiy Okrug","Koryakskiy Okrug","Kostromskaya Oblast","Krasnodarskiy Kray","Krasnoyarskiy Kray","Kurganskaya Oblast","Kurskaya Oblast","Administrative unit not available","Leningradskaya Oblast","Lipetskaya Oblast","Magadanskaya Oblast","Mariy-el Rep.","Mordoviya Rep.","Moskovskaya Oblast",Moskva,"Murmanskaya Oblast","Name Unknown","Nenetskiy Okrug","Nizhegorodskaya Oblast","Novgorodskaya Oblast","Novosibirskaya Oblast","Omskaya Oblast","Orenburgskaya Oblast","Orlovskaya Oblast","Penzenskaya Oblast","Permskaya Oblast","Primorskiy Kray","Pskovskaya Oblast","Rostovskaya Oblast","Ryazanskaya Oblast","Sakha Rep.","Sakhalinskaya Oblast","Samarskaya Oblast",Sankt-peterburg,"Saratovskaya Oblast","Severnaya Osetiya-alaniya Rep.","Smolenskaya Oblast","Stavropolskiy Kray","Sverdlovskaya Oblast","Tambovskaya Oblast","Tatarstan Rep.","Taymyrskiy Okrug","Tomskaya Oblast","Tulskaya Oblast","Tverskaya Oblast","Tyumenskaya Oblast","Tyva Rep.","Udmurtiya Rep.","Ulyanovskaya Oblast","Ustordynskiy Buryatskiy Okrug","Vladimirskaya Oblast","Volgogradskaya Oblast","Vologodskaya Oblast","Voronezhskaya Oblast","Yamalo-nenetskiy Okrug","Yaroslavskaya Oblast","Yevreyskaya A. Oblast"
1901,419.97,897.43,329.58,411.93,449.26,530.55,485.07,217.93,486.67,521.51,612.46,454.55,644.63,416.49,387.26,273.90,430.60,557.15,449.95,897.03,384.58,509.92,954.53,700.99,266.06,601.90,846.05,1097.51,453.57,471.85,597.69,564.08,415.31,507.53,460.30,524.26,461.93,482.64,688.48,529.86,336.13,582.30,299.97,550.82,507.19,381.30,481.36,471.40,549.35,575.20,436.74,407.69,392.02,488.09,550.22,379.96,362.01,416.54,600.30,441.02,520.89,645.88,520.42,400.29,493.70,281.44,626.40,426.51,557.03,347.42,1017.61,595.78,469.22,409.81,442.66,456.21,330.59,491.67,568.66,534.35,366.79,537.40,514.20,414.09,428.46,522.31,303.52,516.06,447.29,388.26,512.70,638.80
1902,443.09,793.24,335.41,477.91,489.29,514.72,554.31,213.22,556.36,554.42,628.71,433.97,655.64,472.35,399.34,246.57,596.18,585.42,447.70,864.23,378.98,635.97,1004.25,670.19,268.62,665.41,636.40,1053.77,583.47,543.29,596.19,608.66,490.80,617.30,531.65,642.53,439.77,661.96,615.85,519.22,396.83,606.56,330.21,707.70,540.28,355.95,614.27,571.89,677.68,726.87,463.87,404.85,392.43,617.54,755.79,411.90,384.78,461.26,621.26,549.10,614.46,866.35,768.51,410.78,559.76,281.87,682.31,583.87,698.16,451.96,1019.08,728.07,472.30,487.95,508.71,616.19,330.53,518.57,614.11,735.26,425.63,540.37,601.91,586.75,419.52,628.16,335.14,672.62,481.97,416.87,657.37,640.93
1903,444.75,814.75,305.18,645.21,642.59,546.26,610.87,184.94,430.68,581.66,644.59,387.33,687.20,370.61,355.93,260.71,456.29,598.58,437.17,952.59,416.39,558.49,953.12,762.40,258.80,637.02,782.01,1068.42,630.78,686.79,601.66,724.27,485.82,553.35,518.73,551.40,408.47,617.03,618.95,567.13,330.78,605.31,318.12,739.23,554.84,312.50,503.51,465.79,604.05,631.41,531.06,404.19,391.98,527.78,721.68,582.18,504.07,359.43,650.65,452.60,541.27,695.00,723.17,441.98,505.69,288.24,722.93,420.47,736.22,361.49,1032.41,702.01,493.12,462.46,482.19,453.84,325.58,597.12,606.79,660.55,433.31,551.19,490.98,433.98,377.89,544.75,321.22,656.62,554.89,389.37,605.80,590.44
1904,435.19,679.33,333.88,433.70,455.53,535.31,613.14,211.40,442.20,476.28,514.45,451.02,681.33,382.89,360.73,260.34,570.43,631.44,433.64,901.14,434.66,579.93,913.43,677.58,264.52,538.59,766.66,963.05,610.95,523.51,589.63,611.72,542.42,652.71,558.58,648.46,424.77,635.73,530.71,530.45,319.45,501.56,335.72,625.55,527.89,319.12,598.72,579.05,588.37,626.78,451.78,368.44,389.16,605.29,591.73,413.31,381.12,346.73,549.09,576.52,591.19,740.58,598.57,376.13,556.05,271.36,714.56,458.12,618.50,427.60,1000.35,546.31,435.14,479.46,537.15,506.19,325.27,514.35,559.43,576.71,406.91,552.41,546.56,529.83,428.04,560.49,312.73,624.09,470.73,410.69,576.46,743.92
1905,450.63,782.38,296.97,445.04,496.26,553.63,660.57,242.58,537.33,502.40,654.25,422.67,662.99,461.85,317.86,270.88,610.38,607.95,458.46,900.36,421.62,673.77,897.19,734.51,286.11,651.93,658.31,1061.23,584.30,589.14,610.14,656.61,436.22,690.42,545.68,680.67,466.12,694.09,593.93,596.44,410.41,586.96,318.89,639.47,478.00,378.77,670.11,571.84,670.02,722.69,493.95,386.49,386.52,656.15,662.76,499.47,526.74,435.76,592.49,530.66,639.51,704.67,652.24,384.24,546.76,276.30,735.77,495.74,618.98,391.24,980.88,690.34,464.05,511.65,456.01,587.28,332.70,558.38,604.98,668.41,476.72,556.24,637.75,541.16,391.38,651.51,344.07,660.44,426.13,417.88,658.20,585.39
1906,445.37,823.72,466.25,498.33,479.03,565.52,531.96,263.77,427.55,587.44,745.71,557.91,680.89,399.99,446.38,261.42,468.87,618.28,458.59,922.17,456.37,559.73,915.09,711.12,308.00,710.99,782.92,1039.73,518.02,515.67,608.73,600.26,478.53,493.48,476.17,562.48,415.75,552.33,689.13,571.66,371.11,649.61,331.61,647.89,541.92,342.03,463.57,495.00,649.36,688.18,433.65,434.25,383.11,512.66,622.58,415.73,398.49,379.61,679.51,503.53,548.37,643.67,667.75,483.35,529.36,289.79,720.26,456.66,637.84,439.29,1023.60,718.72,467.52,471.26,486.95,435.84,345.80,513.25,666.34,606.37,428.10,553.63,443.24,480.94,561.51,568.34,395.26,578.74,515.47,423.37,587.50,567.82
1907,431.80,810.09,357.24,498.38,506.21,541.72,521.83,204.65,482.88,444.06,549.61,475.75,604.35,435.01,409.57,266.01,499.06,524.36,455.82,795.59,426.42,525.09,849.59,677.91,248.44,562.09,846.61,923.84,484.38,574.62,593.75,643.30,445.53,605.80,453.71,645.62,420.25,558.76,653.23,553.17,388.05,491.08,285.85,489.96,432.61,348.80,527.01,484.51,564.19,602.24,454.49,383.99,351.12,509.76,501.08,462.28,405.97,386.65,515.47,476.86,615.36,708.47,508.03,403.12,460.88,298.20,673.79,489.26,461.05,399.03,914.63,588.31,422.09,492.09,416.71,536.53,285.68,540.45,520.02,542.06,421.36,575.96,571.43,511.39,461.43,516.53,327.68,551.28,400.12,359.13,558.79,746.76
1908,442.30,748.89,452.57,525.21,572.26,573.80,541.06,234.21,500.66,444.03,611.71,461.90,606.21,460.71,436.38,259.33,465.50,562.53,468.75,790.99,396.17,617.01,814.33,674.88,281.12,661.33,781.62,907.25,485.05,611.70,608.36,653.52,541.29,577.24,479.81,609.37,445.31,608.20,613.65,596.91,441.30,485.12,311.37,578.30,417.95,358.37,523.57,431.07,681.44,738.41,450.41,405.88,357.64,548.66,705.29,510.21,556.56,360.61,523.85,406.16,610.07,677.31,663.04,448.24,472.49,260.91,780.76,391.71,547.06,344.97,897.19,726.75,421.62,550.58,384.89,474.59,261.66,611.37,558.14,742.36,599.84,551.03,550.56,404.10,431.82,595.77,351.48,609.08,409.61,397.90,658.97,607.45
1909,434.70,793.18,431.49,368.02,411.64,469.14,550.79,158.51,498.55,493.38,614.61,441.42,506.20,420.94,404.83,266.13,519.34,441.41,453.48,728.60,387.29,568.79,747.50,587.50,204.30,638.84,704.99,881.70,540.55,535.77,613.68,597.93,555.61,601.02,510.43,632.39,454.00,603.70,643.08,525.10,317.29,542.81,218.34,581.41,523.83,363.22,545.43,524.57,603.02,632.06,459.70,352.45,377.03,552.63,557.51,426.15,423.04,352.38,590.82,536.22,611.50,759.28,539.58,418.69,536.18,276.04,778.85,492.91,561.71,420.97,819.05,661.23,372.64,477.61,510.60,535.05,333.44,561.33,595.51,588.62,436.47,539.90,575.21,514.61,373.23,564.49,327.27,600.79,479.40,418.36,566.21,583.18
1910,429.40,776.72,379.94,445.07,469.86,531.88,541.65,181.95,470.17,596.96,695.07,446.24,613.30,414.79,393.42,247.95,476.00,535.45,438.60,817.58,395.91,552.15,737.78,703.19,230.70,705.05,846.65,864.72,545.21,555.02,561.53,612.85,459.13,570.81,485.79,651.18,435.93,550.26,642.86,502.82,322.51,674.45,266.35,625.35,572.82,364.62,511.08,490.03,632.91,654.43,471.55,363.64,379.97,531.89,656.45,435.13,396.79,328.96,712.10,469.37,666.80,744.78,634.08,408.08,544.83,290.23,712.36,412.63,623.52,360.79,868.37,708.72,397.47,505.98,485.29,485.50,293.66,554.07,668.57,628.53,386.77,545.56,581.02,445.33,404.57,569.41,301.36,539.17,503.30,390.94,534.85,603.20
