Variable:,pr
,"Republic of Serbia",Borski,Branicevski,"Grad Beograd",Jablanicki,Juzno-backi,Juzno-banatski,Kolubarski,Macvanski,Moravicki,Nisavski,Pcinjski,Pirotski,Podunavski,Pomoravski,Rasinski,Raski,Severno-backi,Severno-banatski,Srednje-banatski,Sremski,Sumadijski,Toplicki,Zajecarski,Zapadno-backi,Zlatiborski
1901,799.80,790.92,804.83,738.81,784.16,617.04,693.45,874.04,825.85,989.00,769.03,781.70,806.39,769.59,808.41,867.21,1038.01,551.31,550.66,599.86,683.55,838.96,840.62,781.37,587.08,1119.64
1902,784.43,723.37,768.27,749.52,726.12,635.61,685.69,889.77,836.42,983.21,724.64,701.21,720.57,759.39,778.76,846.84,1020.55,584.66,569.44,612.06,700.89,834.57,813.38,721.92,627.78,1114.23
1903,683.63,613.76,658.02,663.19,615.83,588.71,604.94,766.85,746.16,834.63,611.64,601.39,615.74,656.08,659.70,716.06,867.44,560.94,533.87,558.22,637.75,711.38,689.61,616.85,604.95,959.99
1904,629.47,591.97,623.35,604.76,588.33,522.90,560.64,696.12,669.50,767.01,579.35,585.65,580.04,609.57,623.03,675.37,802.93,489.35,461.06,493.30,575.15,660.60,652.80,582.78,543.95,857.86
1905,773.62,745.96,776.75,736.03,726.36,631.75,694.13,860.19,806.68,947.52,727.64,708.68,748.77,750.32,773.45,828.66,977.89,598.67,578.79,614.29,688.50,807.71,799.67,739.47,636.19,1041.95
1906,803.36,758.93,805.95,785.89,721.21,714.10,738.66,891.56,868.06,947.50,726.82,708.93,737.49,788.29,791.97,828.62,966.91,684.56,664.18,688.21,763.01,838.56,787.23,744.97,720.59,1050.92
1907,559.60,496.06,529.29,525.77,501.91,461.29,473.04,634.93,614.61,704.30,494.97,493.33,485.60,525.38,541.54,598.44,744.75,432.40,421.15,438.46,503.78,579.48,576.56,493.56,447.61,850.48
1908,619.12,572.58,588.27,598.47,544.27,531.60,535.56,721.05,689.40,773.99,548.29,521.10,562.96,583.21,595.44,657.39,801.94,482.02,470.28,495.06,585.27,643.12,626.07,557.13,516.91,884.18
1909,811.00,757.68,793.96,779.04,777.96,664.35,712.93,904.62,856.71,996.14,766.03,770.73,778.30,788.75,806.66,875.35,1038.04,584.05,578.54,632.76,735.18,860.78,848.76,766.20,627.89,1110.53
1910,863.51,725.39,801.04,839.14,748.28,733.23,736.53,1018.91,972.11,1103.64,759.73,700.36,733.08,829.95,833.48,917.56,1133.54,673.80,654.04,688.82,802.16,926.76,869.21,747.55,717.40,1303.77
1911,660.45,614.76,656.88,624.89,618.98,535.30,579.91,739.95,698.42,822.03,617.66,609.08,619.74,641.40,662.97,716.80,856.96,483.14,479.55,514.99,587.73,699.15,689.70,620.70,515.24,918.76
1912,876.55,864.09,889.47,839.25,819.80,720.05,787.52,976.52,919.79,1069.44,834.75,784.76,867.51,856.75,887.80,940.96,1099.14,663.00,650.04,696.48,790.60,925.84,898.18,852.50,705.10,1155.67
1913,776.05,724.54,754.41,749.72,705.57,667.90,668.33,898.76,869.07,942.39,709.29,687.08,739.94,733.55,752.48,802.84,963.50,596.14,583.60,616.58,733.34,795.07,770.48,725.26,633.38,1098.81
1914,825.55,804.51,825.68,777.02,779.81,672.13,734.73,912.32,849.40,1002.06,785.59,757.03,829.07,802.40,829.22,878.61,1033.94,647.69,631.29,666.43,724.28,869.56,842.84,804.60,669.72,1107.62
1915,1055.04,946.66,1017.46,1034.22,961.53,889.87,925.55,1220.97,1143.45,1314.20,956.79,944.77,965.07,1029.07,1034.25,1113.95,1339.32,802.24,793.56,850.74,974.53,1125.83,1061.52,963.21,847.21,1485.29
1916,752.58,692.31,723.56,714.11,697.90,611.60,648.01,854.23,802.48,944.10,689.82,678.48,706.02,720.96,740.08,810.60,983.11,570.25,557.36,590.07,670.64,795.79,776.62,693.20,600.02,1075.71
1917,632.63,579.14,598.02,594.51,622.70,500.87,538.01,706.23,663.90,791.07,601.79,615.99,637.12,601.04,620.32,691.77,831.87,448.66,436.84,476.19,557.68,663.94,679.75,599.62,500.74,884.97
1918,653.43,636.99,657.45,611.79,630.51,539.72,587.49,702.98,664.61,780.62,620.14,634.82,659.40,635.19,654.02,698.72,813.67,531.04,514.74,533.22,576.27,681.32,678.85,631.56,552.83,840.20
1919,896.32,825.61,883.83,894.27,821.35,774.85,820.86,1013.04,973.41,1095.10,825.67,801.63,845.93,888.36,882.99,945.23,1115.45,676.78,668.91,732.94,855.20,955.64,902.21,836.27,735.59,1181.73
1920,664.21,656.40,675.84,615.44,659.35,551.22,598.90,702.03,658.19,769.54,655.45,656.05,709.91,641.85,666.99,702.90,801.79,541.83,534.29,551.75,581.26,682.24,695.48,666.28,549.48,835.10
1921,656.90,630.37,642.56,621.69,630.00,540.87,565.84,745.31,694.09,804.48,625.26,606.35,644.97,627.17,653.46,709.52,835.27,482.36,479.61,516.16,589.87,685.91,694.71,630.87,507.66,897.88
1922,803.86,754.33,793.96,782.34,707.20,665.59,721.64,921.96,864.39,1012.69,717.12,671.29,717.66,790.28,800.07,864.31,1041.00,622.99,606.18,648.69,731.15,866.36,811.69,727.85,660.77,1126.68
1923,724.54,662.64,703.21,663.77,689.41,556.78,617.79,799.55,743.81,928.18,673.54,678.32,685.90,709.00,734.69,807.94,982.12,531.81,505.91,536.18,606.94,786.58,771.43,670.78,571.46,1048.11
1924,786.57,767.90,786.02,744.92,746.96,652.76,693.54,871.34,822.62,945.32,753.45,723.42,790.68,756.30,784.49,834.31,978.75,598.86,595.57,633.11,708.82,816.65,807.19,770.31,622.58,1053.75
1925,878.33,795.26,849.97,856.20,797.61,747.45,771.91,1011.21,969.44,1085.06,802.74,762.54,820.45,846.03,858.86,927.66,1110.76,673.20,660.17,705.88,822.01,925.33,887.70,804.19,726.91,1227.17
1926,796.18,715.77,775.89,774.97,689.63,678.89,691.11,935.93,888.89,1001.59,697.85,659.80,678.68,768.84,784.14,845.12,1031.81,609.67,599.62,639.76,744.29,847.84,794.02,700.09,655.43,1160.10
