Variable:,pr
,Ukraine,Cherkas'ka,Chernihivs'ka,Chernivets'ka,Dnipropetrovs'ka,Donets'ka,Ivano-frankivs'ka,Kharkivs'ka,Khersons'ka,Khmel'nyts'ka,Kirovohrads'ka,Krym,Kyyivs'ka,L'vivs'ka,Luhans'ka,Mykolayivs'ka,Odes'ka,Poltavs'ka,Rivnens'ka,Sums'ka,Ternopil's'ka,Vinnyts'ka,Volyns'ka,Zakarpats'ka,Zaporiz'ka,Zhytomyrs'ka
1901,527.39,511.75,558.88,712.36,439.10,410.57,811.60,474.75,408.15,582.68,492.40,459.23,525.65,736.84,415.22,457.36,540.22,496.27,562.98,572.01,611.32,561.60,567.68,874.35,403.83,563.32
1902,526.54,529.94,598.80,618.83,481.03,442.80,827.25,536.06,327.11,543.27,492.52,299.40,568.72,771.75,454.59,407.95,398.65,564.27,598.13,611.28,616.47,502.66,590.43,902.10,399.37,599.71
1903,485.12,413.29,551.08,543.86,414.16,466.41,696.25,525.83,317.39,526.75,378.16,352.89,493.79,685.05,532.13,326.15,349.82,457.71,629.31,538.31,564.79,444.05,606.95,733.63,374.70,596.73
1904,423.48,388.62,479.44,526.08,345.12,397.38,605.15,432.25,287.18,472.36,335.69,337.58,457.52,562.41,432.76,297.84,349.89,383.42,498.51,454.46,477.90,447.01,470.72,652.31,333.71,511.25
1905,551.21,629.58,702.62,608.12,503.34,423.72,755.76,520.86,353.61,561.37,551.44,357.77,665.48,711.30,419.35,420.75,398.67,635.84,628.72,659.55,580.51,534.55,620.70,827.59,405.31,658.49
1906,630.29,634.10,733.93,660.87,569.11,582.58,824.60,590.58,478.50,645.44,581.59,528.20,705.82,781.04,548.48,504.92,505.01,628.97,723.36,675.00,664.54,622.71,657.04,902.37,555.03,769.05
1907,466.22,443.26,515.58,523.91,414.07,444.43,627.26,444.12,332.20,502.96,410.29,407.30,484.15,619.08,415.76,347.72,393.51,459.06,533.69,496.46,520.62,477.78,532.70,662.62,406.22,544.13
1908,522.36,487.68,546.08,645.32,452.17,500.73,783.81,478.81,363.06,593.29,455.74,384.27,538.39,753.91,473.57,402.10,425.85,495.61,628.50,510.80,645.70,531.82,622.27,810.63,431.18,623.14
1909,490.47,433.13,510.12,592.01,449.35,482.79,719.73,482.61,369.29,504.31,434.55,452.43,462.40,677.21,475.38,388.60,424.87,466.04,545.39,516.09,560.97,468.82,537.19,773.30,433.81,519.36
1910,562.24,535.54,585.16,653.20,502.00,500.26,748.26,552.97,468.60,588.52,516.94,510.25,569.98,702.75,492.12,492.14,503.92,530.38,611.33,611.47,613.10,586.94,591.80,776.35,504.01,644.44
