Variable:,tas
,"Bosnia and Herzegovina","Federacija Bosne I Hercegovine","Republika Srpska"
1901,8.62,8.32,8.87
1902,8.51,8.26,8.72
1903,9.20,8.89,9.47
1904,9.33,9.05,9.56
1905,8.95,8.65,9.19
1906,8.85,8.54,9.12
1907,8.84,8.55,9.07
1908,8.36,8.07,8.59
1909,8.74,8.42,9.01
1910,9.47,9.15,9.75
1911,9.53,9.24,9.78
1912,8.51,8.24,8.73
1913,8.86,8.58,9.08
1914,8.40,8.14,8.62
1915,8.95,8.63,9.23
1916,9.67,9.36,9.94
1917,8.79,8.48,9.06
1918,9.01,8.71,9.26
1919,8.56,8.25,8.84
1920,9.46,9.21,9.67
1921,9.44,9.17,9.68
1922,8.59,8.34,8.80
1923,9.76,9.45,10.03
1924,8.49,8.23,8.71
1925,9.00,8.70,9.26
1926,9.66,9.36,9.92
1927,9.75,9.46,10.00
1928,9.39,9.10,9.62
1929,8.62,8.34,8.86
1930,9.87,9.57,10.12
1931,8.68,8.38,8.95
1932,9.01,8.76,9.21
1933,8.16,7.89,8.38
1934,10.16,9.86,10.41
1935,9.05,8.76,9.31
1936,9.45,9.15,9.72
1937,9.38,9.06,9.65
1938,9.11,8.81,9.37
1939,9.24,8.94,9.50
1940,7.48,7.22,7.70
1941,8.10,7.81,8.35
1942,8.72,8.46,8.93
1943,9.74,9.47,9.97
1944,8.96,8.66,9.23
1945,9.58,9.31,9.81
1946,9.90,9.60,10.16
1947,9.72,9.43,9.96
1948,9.52,9.24,9.76
1949,9.67,9.39,9.91
1950,10.26,9.97,10.52
1951,10.30,10.02,10.54
1952,9.81,9.51,10.06
1953,9.25,8.99,9.47
1954,8.51,8.24,8.73
1955,9.01,8.72,9.25
1956,8.27,8.01,8.49
1957,9.51,9.24,9.74
1958,9.77,9.49,10.01
1959,9.22,8.96,9.44
1960,9.62,9.34,9.85
1961,9.99,9.72,10.22
1962,8.88,8.60,9.11
1963,9.03,8.76,9.25
1964,8.78,8.51,9.00
1965,8.82,8.55,9.04
1966,9.66,9.36,9.92
1967,9.41,9.14,9.63
1968,9.31,9.03,9.55
1969,8.80,8.52,9.04
1970,9.00,8.72,9.23
1971,9.12,8.83,9.36
1972,9.21,8.91,9.46
1973,8.95,8.68,9.18
1974,9.33,9.06,9.54
1975,9.49,9.23,9.70
1976,8.62,8.37,8.83
1977,9.64,9.37,9.87
1978,8.46,8.17,8.69
1979,9.53,9.25,9.76
1980,8.38,8.10,8.60
1981,9.29,9.02,9.51
1982,9.67,9.42,9.88
1983,9.64,9.38,9.86
1984,8.88,8.61,9.12
1985,8.94,8.69,9.15
1986,9.23,8.94,9.46
1987,8.97,8.69,9.21
1988,9.67,9.41,9.89
1989,9.68,9.40,9.91
1990,10.11,9.83,10.35
1991,8.98,8.72,9.19
1992,10.15,9.89,10.37
1993,9.65,9.39,9.87
1994,10.89,10.62,11.11
1995,9.58,9.31,9.81
1996,9.00,8.74,9.22
1997,9.51,9.26,9.71
1998,9.89,9.62,10.12
1999,10.05,9.78,10.28
2000,10.99,10.71,11.23
2001,10.08,9.82,10.30
2002,10.70,10.44,10.93
2003,10.19,9.95,10.39
2004,9.73,9.45,9.95
2005,9.26,8.99,9.48
2006,10.04,9.78,10.25
2007,10.93,10.66,11.16
2008,10.89,10.61,11.12
2009,10.75,10.48,10.97
2010,9.93,9.66,10.17
2011,10.55,10.31,10.74
2012,10.88,10.61,11.10
2013,10.69,10.41,10.93
2014,11.18,10.90,11.41
2015,11.11,10.85,11.33
2016,10.69,10.42,10.91
2017,10.78,10.50,11.01
2018,11.56,11.29,11.77
2019,11.60,11.33,11.83
2020,11.07,10.80,11.29
2021,10.66,10.40,10.88
