Variable:,tas
,Belarus,Brest,Gomel,Grodno,Minsk,"Minsk City",Mogilev,Vitebsk
1901,6.70,7.35,7.37,6.55,6.71,6.74,6.35,5.88
1902,4.71,5.45,5.41,4.53,4.65,4.70,4.37,3.83
1903,7.20,7.73,7.80,7.01,7.24,7.29,6.91,6.48
1904,5.45,6.21,6.08,5.37,5.43,5.45,5.05,4.58
1905,6.30,6.98,6.94,6.20,6.29,6.30,5.92,5.49
1906,6.92,7.49,7.53,6.79,6.93,6.96,6.59,6.17
1907,4.95,5.89,5.52,5.03,4.92,4.89,4.40,4.01
1908,5.25,6.12,5.72,5.35,5.30,5.28,4.63,4.44
1909,5.59,6.36,6.29,5.43,5.56,5.59,5.20,4.70
1910,7.25,7.93,7.78,7.23,7.30,7.29,6.81,6.48
1911,6.06,7.08,6.46,6.35,6.05,5.92,5.38,5.19
1912,5.35,6.14,5.90,5.36,5.34,5.31,4.90,4.52
1913,7.04,7.61,7.70,6.89,7.02,7.04,6.76,6.24
1914,6.80,7.41,7.37,6.73,6.79,6.82,6.46,6.03
1915,5.74,6.66,6.58,5.64,5.66,5.61,5.41,4.54
1916,6.42,7.35,6.99,6.45,6.48,6.52,5.89,5.41
1917,5.43,6.30,6.07,5.43,5.46,5.49,4.96,4.44
1918,6.63,7.48,7.32,6.57,6.65,6.62,6.21,5.57
1919,5.43,6.27,6.03,5.40,5.46,5.46,4.94,4.53
1920,6.71,7.45,7.12,6.71,6.77,6.76,6.19,6.05
1921,6.68,7.52,7.27,6.67,6.73,6.75,6.22,5.70
1922,5.46,6.05,6.28,5.16,5.35,5.35,5.32,4.57
1923,6.11,6.95,6.97,5.88,6.03,6.01,5.83,5.04
1924,5.51,6.21,6.17,5.36,5.45,5.39,5.14,4.72
1925,7.17,7.77,7.90,6.94,7.12,7.12,6.93,6.33
1926,6.23,7.16,6.88,6.24,6.16,6.14,5.79,5.24
1927,5.78,6.63,6.46,5.68,5.74,5.71,5.37,4.85
1928,5.46,6.38,5.92,5.52,5.44,5.40,4.91,4.64
1929,5.08,5.83,5.71,4.94,5.01,5.00,4.73,4.25
1930,6.84,7.68,7.46,6.79,6.76,6.73,6.41,5.98
1931,5.38,6.30,6.01,5.36,5.28,5.29,4.94,4.43
1932,6.81,7.50,7.43,6.65,6.75,6.76,6.50,6.04
1933,4.77,5.56,5.29,4.75,4.71,4.65,4.34,4.02
1934,7.77,8.59,8.29,7.78,7.75,7.70,7.27,6.96
1935,6.26,7.00,6.91,6.17,6.19,6.15,5.91,5.41
1936,7.24,7.97,7.85,7.12,7.19,7.20,6.91,6.44
1937,7.05,7.79,7.70,6.92,7.00,6.99,6.72,6.21
1938,7.46,8.04,8.07,7.28,7.41,7.44,7.21,6.76
1939,7.04,7.87,7.69,6.99,6.99,6.95,6.68,6.07
1940,4.36,4.94,5.08,4.12,4.28,4.35,4.20,3.54
1941,4.12,5.04,4.86,4.05,4.07,4.05,3.72,3.04
1942,4.08,5.17,4.52,4.23,4.09,4.14,3.48,3.13
1943,6.65,7.37,7.07,6.68,6.63,6.59,6.15,6.02
1944,6.74,7.50,7.33,6.66,6.70,6.71,6.38,5.91
1945,5.58,6.61,5.92,5.74,5.56,5.57,5.00,4.76
1946,6.16,7.10,6.78,6.11,6.05,6.05,5.77,5.21
1947,5.69,6.59,6.38,5.55,5.60,5.63,5.39,4.70
1948,6.78,7.63,7.23,6.78,6.75,6.76,6.39,5.97
1949,7.33,8.13,7.70,7.37,7.32,7.31,6.89,6.63
1950,6.35,7.30,6.89,6.39,6.32,6.34,5.91,5.41
1951,6.47,7.54,7.05,6.56,6.43,6.41,5.95,5.41
1952,5.70,6.48,6.40,5.57,5.62,5.63,5.40,4.77
1953,6.18,7.13,6.57,6.37,6.16,6.15,5.64,5.34
1954,5.74,6.43,6.23,5.67,5.74,5.76,5.40,5.02
1955,5.91,6.73,6.63,5.85,5.85,5.84,5.60,4.89
1956,4.56,5.39,5.12,4.56,4.52,4.51,4.14,3.69
1957,6.91,7.61,7.47,6.81,6.88,6.88,6.57,6.14
1958,6.14,7.05,6.80,6.08,6.10,6.10,5.72,5.12
1959,6.69,7.52,7.02,6.83,6.73,6.73,6.16,5.98
1960,6.43,7.21,7.14,6.27,6.40,6.40,6.10,5.45
1961,7.00,7.75,7.35,6.99,7.03,7.04,6.45,6.41
1962,5.85,6.50,6.57,5.59,5.82,5.84,5.51,5.06
1963,5.38,6.33,5.86,5.43,5.41,5.39,4.78,4.52
1964,5.87,6.58,6.29,5.84,5.92,5.94,5.38,5.25
1965,5.05,5.89,5.51,5.10,5.06,5.06,4.50,4.29
1966,6.63,7.43,7.61,6.35,6.54,6.55,6.44,5.41
1967,6.78,7.72,7.27,6.86,6.75,6.75,6.30,5.86
1968,5.79,6.77,6.41,5.85,5.70,5.70,5.32,4.79
1969,4.79,5.67,5.41,4.79,4.71,4.71,4.38,3.88
1970,5.84,6.51,6.67,5.54,5.75,5.76,5.63,4.94
1971,6.54,7.27,7.07,6.56,6.47,6.48,6.14,5.78
1972,6.79,7.37,7.38,6.63,6.75,6.76,6.50,6.08
1973,6.39,7.12,6.88,6.38,6.35,6.34,5.99,5.64
1974,6.91,7.49,7.49,6.72,6.85,6.87,6.61,6.26
1975,8.01,8.53,8.67,7.86,7.97,7.98,7.75,7.27
1976,5.03,5.98,5.59,5.10,4.97,4.96,4.55,4.10
1977,6.20,7.02,6.84,6.12,6.12,6.14,5.83,5.31
1978,5.37,6.08,6.00,5.30,5.30,5.29,5.02,4.54
1979,6.04,6.62,6.81,5.73,5.93,5.93,5.82,5.26
1980,5.10,5.65,5.71,4.93,5.03,5.01,4.82,4.44
1981,6.69,7.17,7.46,6.35,6.59,6.59,6.56,5.94
1982,6.83,7.50,7.44,6.71,6.79,6.79,6.50,6.03
1983,7.65,8.30,8.24,7.55,7.62,7.63,7.34,6.86
1984,6.47,7.12,6.92,6.47,6.45,6.46,6.07,5.83
1985,4.98,5.73,5.55,4.92,4.91,4.91,4.63,4.18
1986,6.22,6.89,6.87,6.07,6.13,6.12,5.92,5.44
1987,4.54,5.41,5.06,4.54,4.48,4.49,4.09,3.69
1988,6.58,7.21,7.02,6.54,6.56,6.58,6.22,5.96
1989,8.21,8.62,8.81,8.02,8.20,8.22,7.99,7.58
1990,7.87,8.51,8.41,7.80,7.87,7.86,7.48,7.14
1991,7.11,7.65,7.62,6.98,7.09,7.10,6.79,6.50
1992,7.32,7.94,7.80,7.26,7.33,7.30,6.91,6.67
1993,6.31,7.01,6.89,6.24,6.28,6.24,5.92,5.54
1994,6.96,7.84,7.59,6.94,6.93,6.92,6.46,6.03
1995,7.05,7.58,7.62,6.88,7.01,7.01,6.79,6.39
1996,5.67,6.20,6.24,5.44,5.65,5.71,5.46,5.02
1997,6.45,7.04,6.83,6.43,6.47,6.44,6.04,5.90
1998,6.67,7.36,7.21,6.58,6.65,6.65,6.29,5.94
1999,7.84,8.42,8.42,7.69,7.82,7.83,7.53,7.13
2000,8.03,8.76,8.50,8.01,8.03,7.99,7.60,7.31
2001,7.17,7.78,7.71,7.06,7.16,7.16,6.83,6.47
2002,7.79,8.53,8.33,7.75,7.79,7.79,7.38,6.96
2003,6.82,7.48,7.28,6.76,6.84,6.84,6.42,6.15
2004,6.98,7.56,7.58,6.78,6.96,6.99,6.70,6.27
2005,7.05,7.67,7.70,6.88,7.02,7.04,6.78,6.26
2006,7.15,7.80,7.57,7.16,7.16,7.12,6.70,6.51
