Variable:,tas
,Switzerland,Aargau,"Appenzell Ausser-rhoden","Appenzell Inner-rhoden",Basel-landschaft,Basel-stadt,Bern,Fribourg,Geneve,Glarus,Graubunden,Jura,Luzern,Neuchatel,Nidwalden,Obwalden,"Sankt Gallen",Schaffhausen,Schwyz,Solothurn,Thurgau,Ticino,Uri,Valais,Vaud,Zug,Zurich
1901,4.43,7.48,5.93,5.97,7.37,7.80,4.83,5.94,7.25,3.83,1.64,6.73,6.54,6.58,1.96,1.79,5.66,7.45,5.65,7.12,7.65,5.11,1.59,1.24,5.71,7.34,7.30
1902,4.71,7.73,6.18,6.23,7.61,7.96,5.11,6.21,7.62,4.12,1.92,6.96,6.81,6.82,2.25,2.08,5.92,7.67,5.93,7.37,7.88,5.40,1.89,1.55,5.99,7.60,7.55
1903,4.87,7.94,6.37,6.41,7.83,8.22,5.28,6.39,7.69,4.29,2.09,7.12,7.01,6.98,2.43,2.26,6.11,7.90,6.10,7.57,8.14,5.51,2.05,1.66,6.13,7.79,7.75
1904,5.49,8.54,6.95,7.00,8.43,8.76,5.90,7.00,8.34,4.89,2.69,7.71,7.63,7.59,3.05,2.88,6.69,8.45,6.71,8.18,8.67,6.16,2.69,2.32,6.77,8.40,8.34
1905,4.71,7.77,6.18,6.22,7.65,8.08,5.11,6.23,7.57,4.10,1.90,7.00,6.82,6.86,2.24,2.07,5.92,7.74,5.92,7.39,7.94,5.39,1.86,1.54,6.01,7.61,7.57
1906,4.94,7.98,6.37,6.41,7.87,8.18,5.37,6.48,7.82,4.33,2.11,7.23,7.07,7.09,2.50,2.33,6.11,7.84,6.15,7.64,8.05,5.64,2.13,1.79,6.25,7.83,7.76
1907,4.85,7.90,6.32,6.36,7.79,8.18,5.25,6.37,7.71,4.26,2.05,7.14,6.97,7.01,2.40,2.23,6.06,7.79,6.07,7.54,8.01,5.52,2.03,1.66,6.16,7.76,7.70
1908,4.55,7.59,5.99,6.03,7.47,7.83,4.97,6.07,7.48,3.96,1.75,6.84,6.68,6.70,2.13,1.96,5.73,7.41,5.77,7.24,7.62,5.24,1.76,1.39,5.87,7.45,7.37
1909,4.32,7.33,5.75,5.80,7.24,7.65,4.73,5.84,7.16,3.71,1.53,6.67,6.41,6.53,1.85,1.68,5.50,7.20,5.52,7.01,7.42,5.03,1.47,1.15,5.64,7.20,7.13
1910,4.90,7.95,6.38,6.42,7.84,8.33,5.30,6.41,7.65,4.31,2.11,7.27,7.00,7.13,2.42,2.25,6.12,7.88,6.12,7.59,8.10,5.59,2.06,1.70,6.20,7.81,7.76
1911,5.73,8.83,7.17,7.21,8.73,9.34,6.16,7.30,8.55,5.09,2.87,8.19,7.86,8.06,3.26,3.09,6.91,8.73,6.92,8.46,8.94,6.32,2.89,2.51,7.12,8.62,8.57
1912,4.73,7.80,6.20,6.24,7.70,8.23,5.15,6.26,7.58,4.12,1.89,7.11,6.84,6.97,2.27,2.10,5.94,7.73,5.94,7.43,7.94,5.37,1.90,1.53,6.07,7.62,7.58
1913,5.16,8.24,6.59,6.63,8.16,8.74,5.59,6.71,8.02,4.52,2.28,7.60,7.28,7.46,2.69,2.52,6.33,8.17,6.36,7.89,8.38,5.79,2.31,1.96,6.54,8.05,8.01
1914,4.86,7.91,6.33,6.37,7.82,8.35,5.27,6.39,7.64,4.25,2.04,7.27,6.96,7.13,2.39,2.22,6.07,7.84,6.06,7.57,8.06,5.50,2.02,1.64,6.20,7.75,7.70
1915,4.83,7.89,6.25,6.29,7.79,8.34,5.25,6.39,7.63,4.18,1.98,7.29,6.94,7.15,2.35,2.18,5.99,7.80,6.01,7.55,8.01,5.50,1.96,1.66,6.20,7.71,7.66
