Variable:,tas
,"United Kingdom",England,"Northern Ireland",Scotland,Wales
1901,8.19,8.84,8.20,7.03,8.51
1902,7.91,8.62,8.03,6.56,8.41
1903,8.08,8.85,8.04,6.68,8.47
1904,8.13,8.87,8.06,6.82,8.48
1905,8.27,8.94,8.32,7.04,8.66
1906,8.33,9.11,8.30,6.90,8.68
1907,7.99,8.73,7.97,6.67,8.33
1908,8.47,9.10,8.61,7.24,9.00
1909,7.79,8.50,7.88,6.47,8.26
1910,8.27,9.05,8.18,6.90,8.56
1911,8.88,9.66,8.74,7.52,9.13
1912,8.26,9.05,8.18,6.84,8.64
1913,8.65,9.42,8.51,7.29,8.95
1914,8.78,9.50,8.73,7.47,9.11
1915,7.93,8.70,7.87,6.55,8.31
1916,8.30,9.06,8.26,6.92,8.63
1917,7.73,8.40,7.78,6.50,8.09
1918,8.47,9.25,8.48,7.05,8.88
1919,7.69,8.41,7.71,6.34,8.13
1920,8.61,9.34,8.54,7.29,8.96
1921,9.37,10.16,9.42,7.86,9.89
1922,7.85,8.54,7.89,6.57,8.27
1923,8.15,8.92,8.14,6.73,8.57
1924,8.29,8.93,8.34,7.11,8.68
1925,8.21,8.94,8.16,6.91,8.56
1926,8.77,9.51,8.75,7.42,9.14
1927,8.25,9.01,8.28,6.84,8.72
1928,8.48,9.31,8.44,6.97,8.95
1929,8.21,8.88,8.31,6.96,8.66
1930,8.43,9.23,8.25,7.04,8.69
1931,8.18,8.87,8.26,6.91,8.57
1932,8.58,9.28,8.62,7.33,8.90
1933,8.94,9.53,9.02,7.87,9.30
1934,9.09,9.85,9.02,7.76,9.38
1935,8.62,9.38,8.59,7.27,8.95
1936,8.52,9.23,8.48,7.24,8.83
1937,8.50,9.27,8.40,7.13,8.81
1938,9.00,9.69,8.96,7.76,9.31
1939,8.76,9.47,8.71,7.49,9.10
1940,8.21,8.84,8.40,6.99,8.81
1941,8.10,8.78,8.18,6.82,8.55
1942,8.19,8.84,8.37,6.95,8.65
1943,8.98,9.67,8.99,7.73,9.29
1944,8.64,9.35,8.76,7.32,9.05
1945,9.28,9.95,9.37,8.07,9.63
1946,8.47,9.11,8.49,7.33,8.81
1947,8.50,9.29,8.44,7.10,8.83
1948,8.94,9.70,8.95,7.57,9.33
1949,9.44,10.20,9.43,8.04,9.88
1950,8.43,9.17,8.35,7.11,8.75
1951,8.21,8.97,8.14,6.87,8.54
1952,8.11,8.85,8.17,6.74,8.52
1953,9.04,9.61,9.06,8.04,9.24
1954,8.21,8.86,8.29,7.03,8.54
1955,8.33,9.00,8.45,7.11,8.69
1956,8.02,8.60,8.28,6.95,8.32
1957,8.96,9.69,8.96,7.64,9.30
1958,8.39,9.11,8.50,7.09,8.74
1959,9.44,10.20,9.37,8.09,9.78
1960,8.73,9.45,8.66,7.47,8.99
1961,8.80,9.59,8.68,7.42,9.13
1962,7.68,8.28,7.87,6.62,7.92
1963,7.56,8.15,7.71,6.49,7.90
1964,8.45,9.09,8.58,7.29,8.73
1965,7.90,8.63,7.97,6.58,8.28
1966,8.38,9.19,8.40,6.91,8.82
1967,8.64,9.36,8.47,7.38,8.89
1968,8.32,9.05,8.41,6.99,8.71
1969,8.29,9.04,8.24,6.95,8.61
1970,8.47,9.25,8.51,7.02,8.90
1971,8.93,9.55,9.09,7.81,9.22
1972,8.31,8.98,8.21,7.13,8.61
1973,8.62,9.36,8.66,7.24,9.04
1974,8.58,9.29,8.48,7.35,8.84
1975,8.97,9.66,8.99,7.72,9.31
1976,8.94,9.67,8.84,7.64,9.25
1977,8.49,9.25,8.50,7.11,8.88
1978,8.43,9.12,8.56,7.14,8.82
1979,7.81,8.55,7.78,6.48,8.18
1980,8.44,9.09,8.49,7.26,8.74
1981,8.29,9.02,8.40,6.96,8.64
1982,8.78,9.56,8.67,7.40,9.11
1983,8.94,9.69,8.95,7.56,9.29
1984,8.72,9.43,8.68,7.44,9.03
1985,7.91,8.60,7.98,6.67,8.23
1986,7.79,8.48,7.72,6.58,8.00
1987,8.17,8.85,8.28,6.92,8.52
1988,8.91,9.63,8.84,7.65,9.16
1989,9.43,10.29,9.19,7.88,9.85
1990,9.54,10.40,9.29,8.02,9.94
1991,8.70,9.36,8.78,7.55,8.97
1992,8.86,9.64,8.75,7.51,9.15
1993,8.48,9.26,8.47,7.08,8.84
1994,9.05,9.95,8.72,7.47,9.39
1995,9.38,10.27,9.20,7.78,9.78
1996,8.36,8.99,8.41,7.26,8.53
1997,9.53,10.25,9.44,8.28,9.74
1998,9.27,10.04,9.22,7.89,9.56
1999,9.46,10.30,9.25,7.98,9.73
2000,9.16,9.97,8.93,7.75,9.37
2001,8.96,9.75,8.81,7.56,9.25
2002,9.53,10.30,9.26,8.20,9.77
2003,9.54,10.25,9.38,8.35,9.73
2004,9.45,10.18,9.30,8.20,9.68
2005,9.46,10.20,9.37,8.17,9.67
2006,9.70,10.46,9.50,8.37,9.94
2007,9.65,10.42,9.57,8.31,9.89
2008,9.16,9.91,8.99,7.88,9.33
2009,9.26,9.96,9.08,8.11,9.39
2010,8.16,8.85,8.03,6.98,8.37
2011,9.55,10.39,9.19,8.14,9.73
2012,8.89,9.66,8.80,7.55,9.13
2013,8.86,9.55,8.80,7.66,9.14
2014,9.93,10.77,9.51,8.55,10.07
2015,9.18,10.05,8.74,7.73,9.38
2016,9.35,10.12,9.13,8.04,9.56
2017,9.62,10.40,9.35,8.29,9.84
2018,9.49,10.38,9.02,7.99,9.73
2019,9.55,10.36,9.24,8.19,9.71
2020,9.68,10.62,9.15,8.11,9.87
2021,9.38,10.13,9.27,8.06,9.70
