Variable:,tas
,Iceland,Arnes,Austur-baroastrandar,Austur-hunavatns,Austur-skaftafells,Borgarfjaroar,Dala,Eyjafjaroar,Gullbringu,Kjosar,Myra,"Nordhurland Eystra",Norour-isafjaroar,Norour-mùla,Norour-pingeyjar,Rangárvalla,Skagafjaroar,"Snaefellsnes- Og Hna",Stranda,Suour-mùla,Suour-pingeyjar,Vestur-baroastrandar,Vestur-hunavatns,Vestur-isafjaroar,Vestur-skaftafells
1901,1.10,1.63,1.39,0.59,0.34,0.97,1.62,0.31,4.30,2.98,1.47,1.47,1.26,0.46,1.16,2.24,0.35,2.74,1.14,1.54,0.00,1.95,0.92,1.68,2.65
1902,0.20,0.76,0.46,-0.34,-0.50,0.09,0.69,-0.64,3.44,2.11,0.58,0.58,0.32,-0.45,0.22,1.37,-0.59,1.85,0.20,0.68,-0.92,1.03,-0.02,0.75,1.82
1903,0.15,0.68,0.37,-0.41,-0.55,-0.01,0.60,-0.67,3.33,2.01,0.47,0.47,0.24,-0.46,0.22,1.31,-0.64,1.73,0.11,0.66,-0.93,0.94,-0.10,0.67,1.76
1904,0.83,1.35,1.00,0.29,0.15,0.65,1.27,0.04,3.93,2.64,1.12,1.12,0.84,0.26,0.94,1.98,0.06,2.32,0.76,1.35,-0.22,1.51,0.58,1.24,2.46
1905,0.86,1.39,1.02,0.32,0.19,0.69,1.29,0.05,3.99,2.70,1.17,1.17,0.87,0.28,0.95,2.02,0.08,2.37,0.78,1.39,-0.20,1.53,0.62,1.26,2.50
1906,0.26,0.79,0.46,-0.28,-0.44,0.11,0.72,-0.55,3.42,2.12,0.60,0.60,0.33,-0.34,0.34,1.41,-0.52,1.83,0.22,0.78,-0.82,0.99,0.03,0.72,1.87
1907,0.07,0.60,0.30,-0.47,-0.63,-0.07,0.54,-0.75,3.26,1.94,0.41,0.41,0.18,-0.54,0.13,1.22,-0.71,1.66,0.04,0.58,-1.02,0.87,-0.16,0.60,1.68
1908,1.36,1.88,1.62,0.84,0.63,1.21,1.85,0.58,4.52,3.21,1.70,1.70,1.48,0.73,1.44,2.50,0.60,2.95,1.38,1.82,0.29,2.15,1.16,1.87,2.94
1909,0.80,1.34,1.09,0.30,0.03,0.69,1.32,0.02,4.00,2.69,1.18,1.18,0.96,0.13,0.86,1.93,0.06,2.43,0.84,1.21,-0.30,1.63,0.63,1.34,2.37
1910,0.46,0.98,0.67,-0.09,-0.22,0.29,0.91,-0.36,3.60,2.31,0.77,0.77,0.54,-0.13,0.55,1.61,-0.33,2.02,0.42,0.99,-0.62,1.22,0.21,0.94,2.08
1911,1.04,1.57,1.29,0.50,0.32,0.88,1.51,0.23,4.21,2.89,1.37,1.37,1.16,0.43,1.11,2.20,0.26,2.63,1.03,1.53,-0.04,1.85,0.81,1.57,2.63
1912,0.95,1.50,1.25,0.44,0.18,0.82,1.48,0.16,4.18,2.84,1.32,1.32,1.12,0.29,1.02,2.10,0.20,2.60,0.99,1.39,-0.14,1.82,0.76,1.54,2.50
1913,1.11,1.62,1.33,0.57,0.39,0.94,1.56,0.30,4.25,2.94,1.42,1.42,1.19,0.51,1.20,2.25,0.33,2.67,1.08,1.61,0.03,1.88,0.88,1.61,2.70
1914,0.39,0.89,0.55,-0.19,-0.24,0.18,0.80,-0.45,3.51,2.19,0.66,0.66,0.40,-0.15,0.49,1.53,-0.42,1.90,0.30,0.98,-0.67,1.07,0.11,0.80,2.03
1915,0.81,1.39,1.15,0.32,0.02,0.73,1.38,-0.00,4.11,2.78,1.24,1.24,1.03,0.09,0.83,1.97,0.06,2.53,0.89,1.17,-0.32,1.74,0.66,1.46,2.37
1916,0.79,1.31,1.09,0.26,0.03,0.64,1.30,-0.00,4.00,2.66,1.14,1.14,0.96,0.14,0.85,1.91,0.02,2.43,0.83,1.24,-0.31,1.65,0.59,1.37,2.34
1917,0.10,0.64,0.38,-0.44,-0.63,-0.04,0.60,-0.72,3.32,1.98,0.45,0.45,0.25,-0.54,0.15,1.25,-0.69,1.75,0.12,0.58,-1.01,0.96,-0.12,0.69,1.69
1918,0.43,0.98,0.63,-0.10,-0.26,0.31,0.90,-0.38,3.63,2.34,0.79,0.79,0.48,-0.17,0.49,1.59,-0.35,1.99,0.40,0.98,-0.67,1.13,0.24,0.85,2.04
1919,-0.02,0.50,0.28,-0.55,-0.78,-0.16,0.50,-0.83,3.20,1.86,0.35,0.35,0.14,-0.66,0.03,1.11,-0.80,1.62,0.01,0.43,-1.13,0.84,-0.22,0.57,1.54
1920,0.78,1.27,0.94,0.21,0.13,0.57,1.19,-0.03,3.87,2.58,1.05,1.05,0.78,0.25,0.91,1.91,-0.02,2.26,0.71,1.36,-0.26,1.44,0.52,1.17,2.41
1921,0.49,0.98,0.70,-0.06,-0.21,0.28,0.91,-0.31,3.62,2.30,0.77,0.77,0.57,-0.09,0.62,1.61,-0.28,2.02,0.44,1.01,-0.57,1.23,0.21,0.96,2.09
1922,1.00,1.48,1.34,0.47,0.22,0.82,1.48,0.22,4.16,2.83,1.33,1.33,1.23,0.39,1.14,2.08,0.24,2.60,1.07,1.48,-0.08,1.91,0.78,1.64,2.49
1923,0.78,1.29,1.13,0.24,-0.00,0.63,1.29,0.00,3.98,2.65,1.13,1.13,1.01,0.15,0.90,1.89,0.01,2.42,0.85,1.24,-0.31,1.70,0.57,1.43,2.30
1924,0.78,1.29,0.96,0.24,0.08,0.59,1.20,0.03,3.95,2.62,1.08,1.08,0.81,0.19,0.95,1.93,0.03,2.31,0.71,1.33,-0.30,1.49,0.51,1.21,2.39
1925,1.06,1.54,1.42,0.57,0.24,0.89,1.60,0.37,4.23,2.91,1.41,1.41,1.30,0.42,1.29,2.13,0.37,2.69,1.16,1.49,-0.04,1.99,0.88,1.72,2.53
1926,1.57,2.05,1.94,1.02,0.79,1.43,2.14,0.78,4.83,3.47,1.97,1.97,1.82,0.93,1.70,2.65,0.80,3.28,1.67,2.01,0.46,2.53,1.34,2.26,3.09
1927,1.39,1.89,1.81,0.86,0.57,1.29,2.03,0.63,4.73,3.36,1.84,1.84,1.70,0.69,1.49,2.48,0.64,3.16,1.54,1.76,0.26,2.40,1.21,2.13,2.90
1928,2.09,2.58,2.60,1.58,1.22,1.99,2.76,1.34,5.41,4.05,2.55,2.55,2.50,1.37,2.22,3.14,1.36,3.90,2.32,2.40,0.94,3.20,1.93,2.92,3.53
1929,2.01,2.50,2.46,1.49,1.16,1.91,2.65,1.25,5.33,3.97,2.46,2.46,2.35,1.30,2.14,3.08,1.27,3.80,2.18,2.36,0.87,3.06,1.83,2.79,3.49
