Variable:,tas
,Moldova,Balti,Cahul,Chisinau,Dubasari,Edinet,Gagauzia,Lapusna,Orhei,Soroca,Tighina,Ungheni
1901,10.16,10.09,10.79,10.29,10.04,9.55,10.58,10.45,10.07,9.94,10.34,10.08
1902,8.88,8.80,9.62,9.01,8.72,8.22,9.31,9.18,8.76,8.61,9.08,8.88
1903,10.38,10.37,10.99,10.48,10.21,9.86,10.69,10.62,10.30,10.22,10.49,10.35
1904,9.33,9.34,10.08,9.44,9.08,8.78,9.66,9.62,9.21,9.11,9.43,9.37
1905,9.94,9.88,10.61,10.07,9.79,9.32,10.33,10.22,9.84,9.69,10.13,9.92
1906,10.33,10.28,10.96,10.45,10.18,9.77,10.69,10.59,10.24,10.13,10.49,10.29
1907,8.94,8.94,9.70,9.05,8.70,8.37,9.30,9.23,8.81,8.71,9.06,8.99
1908,9.03,9.00,9.76,9.11,8.80,8.44,9.44,9.32,8.89,8.79,9.17,9.06
1909,9.79,9.71,10.50,9.94,9.63,9.13,10.23,10.09,9.66,9.50,10.01,9.79
1910,10.64,10.62,11.25,10.74,10.49,10.10,11.01,10.90,10.56,10.45,10.76,10.63
1911,9.47,9.59,10.06,9.51,9.22,9.10,9.75,9.70,9.41,9.34,9.42,9.53
1912,8.99,8.93,9.66,9.11,8.84,8.38,9.39,9.28,8.93,8.76,9.13,8.99
1913,10.03,9.94,10.55,10.17,9.91,9.42,10.41,10.30,9.98,9.85,10.19,10.00
1914,9.66,9.61,10.23,9.77,9.53,9.08,10.01,9.90,9.59,9.49,9.79,9.63
1915,10.10,10.01,10.84,10.24,9.97,9.38,10.54,10.41,10.00,9.83,10.35,10.05
1916,10.50,10.48,11.20,10.62,10.28,9.94,10.89,10.79,10.39,10.29,10.63,10.50
1917,9.71,9.62,10.43,9.87,9.49,9.06,10.16,10.05,9.57,9.42,9.90,9.73
1918,10.44,10.39,11.03,10.56,10.27,9.84,10.80,10.72,10.36,10.25,10.60,10.40
1919,9.62,9.46,10.37,9.79,9.51,8.89,10.14,9.95,9.47,9.27,9.95,9.59
1920,9.67,9.75,10.15,9.76,9.44,9.26,9.96,9.91,9.62,9.57,9.68,9.71
1921,9.89,9.92,10.41,10.01,9.67,9.43,10.17,10.16,9.85,9.75,9.90,9.93
1922,9.30,9.18,9.97,9.42,9.20,8.65,9.79,9.56,9.13,9.02,9.62,9.20
1923,10.73,10.67,11.47,10.86,10.55,10.12,11.18,11.04,10.60,10.44,10.95,10.69
1924,9.40,9.38,10.03,9.50,9.20,8.85,9.81,9.68,9.28,9.17,9.54,9.40
1925,10.54,10.53,11.08,10.65,10.38,10.01,10.92,10.80,10.46,10.37,10.64,10.52
1926,10.27,10.33,10.95,10.33,10.03,9.80,10.65,10.52,10.16,10.08,10.31,10.32
1927,10.19,10.19,10.91,10.27,9.96,9.65,10.59,10.46,10.06,9.95,10.29,10.20
1928,9.23,9.28,9.93,9.31,8.98,8.74,9.61,9.50,9.11,9.03,9.28,9.29
1929,9.03,8.97,9.75,9.14,8.84,8.44,9.49,9.32,8.90,8.78,9.21,9.00
