Variable:,tas
,Macedonia,Berovo,Bitola,Brod,Debar,Delcevo,"Demir Hisar",Gevgelija,Gostivar,Kavadarci,Kicevo,Kocani,Kratovo,"Kriva Palanka",Krusevo,Kumanovo,Negotino,Ohrid,Prilep,Probistip,Radovic,Resen,Skopje,Stip,Struga,Strumica,"Sveti Nikole",Tetovo,Valandovo,Veles,Vinica
1901,9.74,9.14,9.85,8.66,7.87,9.08,9.66,11.78,6.63,10.69,7.85,9.94,8.17,7.96,9.79,10.30,11.18,8.84,9.97,9.95,10.50,9.25,9.73,11.31,8.78,11.70,11.34,8.40,11.97,11.01,9.42
1902,9.51,8.73,9.72,8.45,7.74,8.67,9.56,11.52,6.44,10.48,7.69,9.64,7.83,7.62,9.68,9.96,10.96,8.76,9.79,9.68,10.21,9.16,9.49,11.09,8.70,11.36,11.11,8.18,11.71,10.78,9.04
1903,10.08,9.43,10.14,9.02,8.21,9.38,9.93,12.08,7.02,11.04,8.20,10.29,8.59,8.38,10.06,10.71,11.52,9.12,10.31,10.33,10.82,9.51,10.11,11.66,9.06,11.97,11.70,8.80,12.27,11.37,9.72
1904,9.96,9.16,10.09,8.93,8.15,9.11,9.91,11.92,6.93,10.92,8.13,10.13,8.40,8.19,10.04,10.53,11.42,9.10,10.21,10.19,10.66,9.49,10.00,11.56,9.04,11.73,11.59,8.70,12.09,11.26,9.48
1905,9.82,9.16,9.94,8.74,7.97,9.11,9.74,11.83,6.74,10.80,7.95,10.02,8.28,8.07,9.86,10.41,11.27,8.93,10.08,10.05,10.56,9.32,9.83,11.40,8.87,11.72,11.43,8.51,12.02,11.10,9.45
1906,9.83,9.24,9.90,8.78,7.95,9.19,9.70,11.85,6.75,10.78,7.94,10.07,8.33,8.12,9.83,10.44,11.28,8.88,10.05,10.09,10.61,9.27,9.86,11.43,8.82,11.77,11.45,8.54,12.04,11.11,9.53
1907,9.59,8.82,9.73,8.55,7.78,8.77,9.56,11.56,6.53,10.55,7.75,9.77,8.04,7.83,9.68,10.16,11.04,8.75,9.84,9.82,10.30,9.14,9.62,11.19,8.69,11.39,11.22,8.30,11.74,10.89,9.13
1908,9.34,8.58,9.50,8.29,7.53,8.52,9.32,11.34,6.27,10.32,7.50,9.49,7.72,7.51,9.45,9.86,10.80,8.51,9.61,9.54,10.05,8.91,9.34,10.93,8.45,11.18,10.95,8.03,11.52,10.61,8.89
1909,9.84,9.17,9.94,8.77,7.97,9.12,9.75,11.87,6.76,10.81,7.96,10.06,8.34,8.13,9.88,10.46,11.31,8.91,10.08,10.10,10.59,9.31,9.86,11.45,8.85,11.74,11.47,8.53,12.05,11.13,9.47
1910,10.24,9.62,10.27,9.19,8.35,9.58,10.06,12.24,7.18,11.19,8.35,10.50,8.80,8.59,10.18,10.93,11.69,9.24,10.44,10.53,11.01,9.63,10.29,11.85,9.19,12.14,11.88,8.96,12.43,11.54,9.91
