Variable:,tas
,"Republic of Montenegro",Andrijevica,Bar,Berane,"Bijelo Polje",Budva,Cetinje,Danilovgrad,"Herceg Novi",Kolasin,Kotor,Mojkovac,Niksic,Plav,Pljevlja,Pluzine,Podgorica,Rozaj,Savnik,Tivat,Ulcinj,Zabljak
1901,8.38,6.43,13.47,6.48,6.98,11.69,10.50,8.40,10.77,7.30,9.56,6.93,8.33,6.59,6.57,6.71,10.88,6.66,7.19,11.69,14.53,6.47
1902,8.23,6.20,13.41,6.24,6.66,11.64,10.44,8.24,10.73,7.10,9.48,6.72,8.23,6.36,6.38,6.58,10.76,6.40,7.01,11.64,14.49,6.29
1903,8.95,7.05,14.01,7.09,7.62,12.25,11.05,8.96,11.31,7.88,10.10,7.52,8.87,7.20,7.15,7.24,11.44,7.26,7.75,12.25,14.90,7.05
1904,8.98,6.96,14.07,7.00,7.53,12.31,11.15,9.00,11.43,7.87,10.22,7.50,9.00,7.11,7.16,7.39,11.46,7.17,7.79,12.31,14.97,7.06
1905,8.63,6.64,13.73,6.70,7.23,11.95,10.77,8.64,11.04,7.52,9.83,7.16,8.60,6.81,6.81,6.99,11.13,6.91,7.43,11.95,14.69,6.71
1906,8.64,6.75,13.70,6.79,7.33,11.95,10.73,8.66,10.96,7.59,9.77,7.22,8.54,6.90,6.84,6.90,11.14,6.95,7.45,11.95,14.59,6.74
1907,8.53,6.53,13.65,6.57,7.09,11.91,10.71,8.55,10.98,7.43,9.76,7.06,8.52,6.68,6.73,6.87,11.03,6.72,7.34,11.91,14.57,6.63
1908,8.16,6.18,13.29,6.22,6.70,11.52,10.30,8.20,10.56,7.08,9.34,6.71,8.11,6.33,6.36,6.47,10.69,6.38,6.99,11.52,14.23,6.27
1909,8.54,6.61,13.62,6.65,7.20,11.86,10.65,8.56,10.89,7.47,9.70,7.11,8.47,6.77,6.75,6.85,11.03,6.82,7.36,11.86,14.58,6.65
1910,9.16,7.26,14.18,7.31,7.94,12.42,11.21,9.19,11.46,8.12,10.25,7.77,9.04,7.41,7.40,7.45,11.64,7.49,8.00,12.42,14.97,7.29
1911,9.21,7.20,14.25,7.25,7.79,12.49,11.34,9.26,11.60,8.13,10.41,7.76,9.21,7.35,7.44,7.57,11.68,7.43,8.05,12.49,15.10,7.34
1912,8.30,6.25,13.41,6.29,6.82,11.65,10.48,8.34,10.76,7.19,9.55,6.81,8.32,6.41,6.46,6.66,10.80,6.45,7.11,11.65,14.46,6.37
1913,8.61,6.56,13.71,6.60,7.12,11.98,10.79,8.65,11.06,7.50,9.85,7.12,8.62,6.71,6.78,7.00,11.10,6.77,7.43,11.98,14.77,6.69
1914,8.14,6.11,13.23,6.15,6.67,11.49,10.32,8.18,10.58,7.04,9.38,6.66,8.16,6.26,6.32,6.54,10.63,6.29,6.96,11.49,14.29,6.23
