Variable:,tas
,Norway,Akershus,Aust-agder,Buskerud,Finnmark,Hedmark,Hordaland,"Moere Og Romsdal",Nord-troendelag,Nordland,Oestfold,Oppland,Oslo,Rogaland,Soer-Troendelag,"Sogn og Fjordane",Telemark,Troms,Vest-Agder,Vestfold
1901,1.38,4.41,3.79,1.31,-1.08,0.90,2.84,3.08,2.51,1.30,5.66,-0.15,4.51,4.56,2.10,2.13,2.25,-0.35,4.73,5.58
1902,-0.33,2.75,2.40,-0.14,-3.34,-0.75,1.51,1.69,0.81,-0.74,4.04,-1.63,2.90,3.23,0.57,0.79,0.83,-2.56,3.37,4.03
1903,1.05,4.09,3.50,0.95,-1.49,0.62,2.49,2.80,2.35,0.93,5.38,-0.46,4.18,4.25,1.88,1.76,1.91,-0.84,4.44,5.31
1904,0.46,3.66,3.18,0.58,-2.07,0.01,2.15,2.26,1.36,-0.05,5.00,-0.96,3.80,3.93,1.15,1.40,1.57,-1.57,4.13,4.93
1905,1.04,4.22,3.67,1.12,-1.47,0.66,2.65,2.80,2.03,0.59,5.49,-0.39,4.33,4.42,1.78,1.88,2.09,-0.95,4.60,5.45
1906,1.37,4.70,4.05,1.51,-1.39,1.14,3.02,3.18,2.48,0.89,6.01,0.03,4.79,4.77,2.22,2.22,2.49,-0.86,4.98,5.94
1907,1.09,3.80,3.18,0.70,-0.88,0.43,2.27,2.64,2.35,1.23,4.99,-0.64,3.89,3.95,1.78,1.59,1.63,-0.24,4.10,4.95
1908,1.20,4.29,3.75,1.24,-1.36,0.79,2.81,2.96,2.32,0.89,5.55,-0.24,4.38,4.54,1.96,2.03,2.20,-0.78,4.71,5.49
1909,0.33,3.19,2.70,0.14,-1.79,-0.28,1.76,1.97,1.44,0.17,4.45,-1.29,3.27,3.49,0.96,1.03,1.11,-1.37,3.66,4.39
1910,1.55,4.70,4.15,1.53,-1.12,1.20,3.07,3.31,2.84,1.27,5.97,0.11,4.78,4.90,2.40,2.30,2.53,-0.46,5.11,5.90
1911,1.59,4.79,4.29,1.60,-0.90,1.20,3.11,3.24,2.67,1.23,6.16,0.09,4.88,4.98,2.30,2.30,2.62,-0.33,5.23,6.08
1912,0.71,4.02,3.45,1.01,-2.84,0.67,2.63,2.99,2.20,0.16,5.17,-0.31,4.11,4.31,1.97,1.96,1.93,-2.02,4.42,5.14
1913,1.47,4.87,4.25,1.72,-1.52,1.32,3.23,3.40,2.61,0.89,6.14,0.24,4.97,5.00,2.42,2.44,2.69,-0.94,5.17,6.09
1914,1.84,5.13,4.50,1.92,-1.09,1.72,3.46,3.75,3.12,1.39,6.38,0.54,5.16,5.23,2.84,2.71,2.88,-0.43,5.44,6.29
1915,-0.71,2.39,2.18,-0.56,-3.26,-1.20,1.13,1.16,0.18,-1.36,3.76,-2.10,2.52,2.94,-0.00,0.37,0.47,-2.85,3.16,3.72
1916,0.96,4.11,3.51,1.04,-1.80,0.66,2.62,2.87,2.09,0.57,5.29,-0.36,4.20,4.34,1.85,1.89,1.97,-1.12,4.45,5.25
1917,0.04,3.13,2.81,0.15,-2.99,-0.25,1.82,2.12,1.37,-0.43,4.42,-1.22,3.23,3.57,1.09,1.13,1.14,-2.38,3.79,4.38
1918,1.29,4.11,3.65,1.10,-1.11,0.72,2.73,3.04,2.53,1.26,5.37,-0.27,4.20,4.44,2.05,2.03,2.05,-0.33,4.61,5.31
1919,0.28,3.30,2.68,0.17,-2.02,-0.09,1.75,2.00,1.45,-0.08,4.50,-1.19,3.36,3.45,1.09,1.02,1.11,-1.63,3.61,4.45
