Variable:,tas
,"Republic of Serbia",Borski,Branicevski,"Grad Beograd",Jablanicki,Juzno-backi,Juzno-banatski,Kolubarski,Macvanski,Moravicki,Nisavski,Pcinjski,Pirotski,Podunavski,Pomoravski,Rasinski,Raski,Severno-backi,Severno-banatski,Srednje-banatski,Sremski,Sumadijski,Toplicki,Zajecarski,Zapadno-backi,Zlatiborski
1901,9.96,9.93,10.18,11.28,9.25,10.92,11.34,10.11,10.64,9.14,9.94,8.81,8.44,11.10,10.45,9.72,8.21,10.67,10.86,11.19,11.15,10.49,9.49,9.70,10.72,8.01
1902,9.58,9.48,9.78,10.92,8.90,10.55,10.93,9.77,10.31,8.78,9.57,8.46,8.01,10.71,10.05,9.34,7.85,10.25,10.44,10.79,10.80,10.11,9.12,9.27,10.35,7.65
1903,10.58,10.59,10.83,11.94,9.69,11.56,11.98,10.80,11.30,9.81,10.45,9.23,8.82,11.75,11.09,10.36,8.86,11.29,11.51,11.84,11.80,11.15,10.07,10.32,11.31,8.67
1904,10.44,10.28,10.68,11.84,9.51,11.48,11.84,10.68,11.24,9.70,10.28,9.05,8.57,11.62,10.96,10.24,8.76,11.23,11.38,11.71,11.73,11.03,9.93,10.07,11.30,8.57
1905,10.19,10.17,10.42,11.53,9.38,11.17,11.57,10.38,10.92,9.41,10.11,8.93,8.51,11.34,10.69,10.00,8.49,10.93,11.09,11.42,11.41,10.75,9.74,9.94,10.98,8.28
1906,10.30,10.31,10.56,11.65,9.45,11.27,11.71,10.48,10.99,9.53,10.21,8.98,8.63,11.47,10.83,10.09,8.59,11.00,11.23,11.56,11.49,10.87,9.81,10.06,11.01,8.38
1907,10.02,9.90,10.25,11.39,9.13,11.05,11.42,10.24,10.78,9.26,9.88,8.67,8.20,11.18,10.53,9.81,8.32,10.78,10.96,11.29,11.28,10.59,9.51,9.68,10.82,8.13
1908,9.63,9.61,9.88,10.98,8.81,10.59,11.03,9.80,10.31,8.84,9.54,8.36,7.93,10.80,10.15,9.42,7.92,10.31,10.54,10.88,10.82,10.19,9.14,9.37,10.35,7.71
1909,10.16,10.11,10.40,11.51,9.41,11.13,11.55,10.34,10.85,9.37,10.14,8.97,8.54,11.32,10.67,9.94,8.44,10.85,11.06,11.40,11.36,10.71,9.70,9.89,10.88,8.24
1910,10.92,10.92,11.21,12.31,9.94,11.92,12.36,11.15,11.65,10.18,10.74,9.46,9.08,12.13,11.48,10.75,9.23,11.63,11.86,12.20,12.15,11.53,10.41,10.67,11.66,9.03
1911,10.70,10.64,10.97,12.10,9.66,11.76,12.12,10.95,11.49,9.98,10.48,9.18,8.71,11.89,11.25,10.48,9.03,11.50,11.68,12.00,11.99,11.31,10.07,10.41,11.56,8.84
1912,9.67,9.54,9.87,11.01,8.88,10.64,11.02,9.85,10.39,8.92,9.62,8.43,7.95,10.81,10.17,9.50,8.01,10.34,10.53,10.87,10.89,10.22,9.26,9.37,10.39,7.80
1913,9.98,9.99,10.26,11.35,8.99,10.99,11.38,10.21,10.75,9.25,9.80,8.51,8.09,11.15,10.52,9.76,8.34,10.73,10.90,11.22,11.23,10.56,9.40,9.73,10.79,8.12
1914,9.53,9.48,9.73,10.85,8.74,10.50,10.86,9.72,10.25,8.76,9.44,8.30,7.90,10.62,10.00,9.32,7.85,10.25,10.43,10.75,10.74,10.05,9.07,9.24,10.32,7.66
1915,10.34,10.33,10.55,11.65,9.61,11.30,11.70,10.50,11.04,9.52,10.32,9.18,8.81,11.45,10.81,10.09,8.58,11.04,11.21,11.55,11.54,10.85,9.87,10.11,11.12,8.38
1916,11.03,11.01,11.26,12.37,10.23,11.99,12.41,11.22,11.75,10.24,10.96,9.77,9.40,12.19,11.55,10.82,9.30,11.75,11.92,12.25,12.24,11.60,10.54,10.77,11.82,9.10
1917,10.15,10.07,10.35,11.46,9.45,11.08,11.51,10.34,10.85,9.37,10.11,9.02,8.62,11.27,10.61,9.92,8.46,10.84,11.02,11.35,11.33,10.68,9.69,9.86,10.90,8.24
1918,10.27,10.29,10.52,11.60,9.45,11.28,11.67,10.44,11.00,9.46,10.20,9.01,8.64,11.41,10.76,10.04,8.51,11.07,11.23,11.54,11.50,10.80,9.80,9.99,11.10,8.32
1919,9.99,9.86,10.15,11.32,9.30,10.92,11.31,10.19,10.73,9.22,9.99,8.88,8.46,11.10,10.46,9.78,8.28,10.66,10.85,11.18,11.19,10.52,9.57,9.70,10.71,8.09
1920,10.42,10.24,10.68,11.83,9.34,11.46,11.83,10.70,11.24,9.74,10.19,8.84,8.35,11.61,10.97,10.23,8.83,11.23,11.37,11.69,11.71,11.03,9.86,10.00,11.32,8.63
1921,10.56,10.51,10.85,11.96,9.49,11.62,12.00,10.78,11.34,9.81,10.36,8.98,8.52,11.78,11.12,10.33,8.88,11.37,11.53,11.84,11.86,11.17,9.96,10.25,11.44,8.69
