Variable:,tas
,Ukraine,Cherkas'ka,Chernihivs'ka,Chernivets'ka,Dnipropetrovs'ka,Donets'ka,Ivano-frankivs'ka,Kharkivs'ka,Khersons'ka,Khmel'nyts'ka,Kirovohrads'ka,Krym,Kyyivs'ka,L'vivs'ka,Luhans'ka,Mykolayivs'ka,Odes'ka,Poltavs'ka,Rivnens'ka,Sums'ka,Ternopil's'ka,Vinnyts'ka,Volyns'ka,Zakarpats'ka,Zaporiz'ka,Zhytomyrs'ka
1901,8.64,8.39,7.41,8.04,9.48,9.31,6.74,8.37,10.34,7.99,8.77,11.13,8.25,7.51,8.61,9.77,10.18,8.42,7.78,7.17,7.53,8.59,7.71,7.28,10.21,7.72
1902,7.06,6.85,5.60,6.76,7.87,7.68,5.46,6.70,8.80,6.44,7.23,9.68,6.55,6.09,6.97,8.27,8.87,6.78,5.98,5.40,6.04,7.09,5.99,6.08,8.62,5.97
1903,8.73,8.58,7.77,8.33,9.37,8.89,7.05,8.26,10.18,8.29,8.85,10.85,8.53,7.82,8.29,9.77,10.30,8.53,8.08,7.43,7.86,8.82,8.04,7.59,9.94,8.06
1904,7.47,7.25,6.14,7.41,8.14,7.77,6.28,6.83,9.07,7.08,7.57,9.91,7.06,6.94,6.93,8.56,9.20,7.14,6.66,5.74,6.77,7.58,6.68,6.97,8.86,6.57
1905,8.29,8.07,7.00,7.88,9.07,8.79,6.63,7.93,9.94,7.72,8.40,10.74,7.86,7.35,8.10,9.42,9.94,8.02,7.41,6.73,7.32,8.29,7.39,7.21,9.79,7.37
1906,8.72,8.52,7.56,8.24,9.50,9.23,6.92,8.43,10.33,8.16,8.85,11.06,8.35,7.69,8.57,9.81,10.30,8.53,7.86,7.33,7.72,8.74,7.82,7.46,10.17,7.85
1907,6.96,6.77,5.49,6.99,7.53,7.12,5.86,6.18,8.53,6.66,7.07,9.44,6.54,6.54,6.26,8.08,8.81,6.51,6.30,5.06,6.34,7.19,6.34,6.55,8.23,6.15
1908,7.00,6.77,5.59,7.06,7.50,7.12,5.90,6.07,8.55,6.79,7.07,9.54,6.64,6.60,6.15,8.09,8.92,6.45,6.49,4.95,6.44,7.29,6.57,6.53,8.29,6.34
1909,7.99,7.70,6.45,7.72,8.82,8.66,6.44,7.58,9.77,7.42,8.12,10.81,7.45,7.06,7.79,9.20,9.79,7.63,6.90,6.20,7.02,8.00,6.92,6.99,9.66,6.89
1910,8.86,8.72,7.71,8.67,9.45,9.01,7.45,8.23,10.34,8.54,8.97,11.08,8.61,8.18,8.22,9.93,10.53,8.57,8.28,7.30,8.16,9.04,8.27,8.03,10.04,8.18
1911,7.38,7.13,6.13,7.79,7.51,6.97,6.93,6.23,8.55,7.47,7.29,9.32,7.17,7.71,6.26,8.27,9.11,6.76,7.36,5.54,7.31,7.81,7.51,7.69,8.06,7.00
1912,7.13,6.89,5.82,6.98,7.70,7.39,5.87,6.50,8.63,6.73,7.16,9.60,6.74,6.60,6.65,8.17,8.87,6.77,6.50,5.50,6.43,7.29,6.55,6.50,8.37,6.33
1913,8.50,8.44,7.69,7.94,9.15,8.65,6.72,8.12,9.81,8.04,8.62,10.47,8.38,7.54,8.08,9.47,9.98,8.44,7.99,7.36,7.58,8.58,7.92,7.24,9.55,7.88
1914,8.17,7.99,7.28,7.59,8.82,8.40,6.45,7.78,9.48,7.70,8.23,10.26,7.96,7.33,7.79,9.12,9.61,8.03,7.75,6.96,7.31,8.20,7.70,6.97,9.29,7.54
1915,8.25,8.04,6.74,7.95,9.11,8.78,6.70,7.81,10.07,7.62,8.44,10.94,7.76,7.36,7.90,9.51,10.11,7.99,7.20,6.51,7.27,8.31,7.22,7.32,9.80,7.16
